district_ks,year,month,day,desc_party,count
KS0013,2014,12,22,,2
KS0013,2014,12,22,Democratic,15475
KS0013,2014,12,22,Libertarian,358
KS0013,2014,12,22,Republican,17103
KS0013,2014,12,22,Unaffiliated,16819
KS0014,2014,12,22,,160
KS0014,2014,12,22,Democratic,7883
KS0014,2014,12,22,Libertarian,266
KS0014,2014,12,22,Republican,23992
KS0014,2014,12,22,Unaffiliated,11855
KS0015,2014,12,22,,11
KS0015,2014,12,22,Democratic,10616
KS0015,2014,12,22,Libertarian,356
KS0015,2014,12,22,Republican,20442
KS0015,2014,12,22,Unaffiliated,13775
KS0016,2014,12,22,,80
KS0016,2014,12,22,Democratic,7673
KS0016,2014,12,22,Libertarian,329
KS0016,2014,12,22,Republican,23253
KS0016,2014,12,22,Unaffiliated,14825
KS0017,2014,12,22,,1
KS0017,2014,12,22,Democratic,9314
KS0017,2014,12,22,Libertarian,276
KS0017,2014,12,22,Republican,15187
KS0017,2014,12,22,Unaffiliated,12315
KS0018,2014,12,22,Democratic,12048
KS0018,2014,12,22,Libertarian,335
KS0018,2014,12,22,Republican,16839
KS0018,2014,12,22,Unaffiliated,12892
KS0019,2014,12,22,,1
KS0019,2014,12,22,Democratic,13664
KS0019,2014,12,22,Libertarian,299
KS0019,2014,12,22,Republican,15234
KS0019,2014,12,22,Unaffiliated,12949
KS0020,2014,12,22,Democratic,12309
KS0020,2014,12,22,Libertarian,338
KS0020,2014,12,22,Republican,21228
KS0020,2014,12,22,Unaffiliated,12950
KS0021,2014,12,22,Democratic,11697
KS0021,2014,12,22,Libertarian,487
KS0021,2014,12,22,Republican,20236
KS0021,2014,12,22,Unaffiliated,14853
KS0022,2014,12,22,,4
KS0022,2014,12,22,Democratic,8638
KS0022,2014,12,22,Libertarian,404
KS0022,2014,12,22,Republican,19299
KS0022,2014,12,22,Unaffiliated,13597
KS0023,2014,12,22,Democratic,9261
KS0023,2014,12,22,Libertarian,422
KS0023,2014,12,22,Republican,19927
KS0023,2014,12,22,Unaffiliated,13656
KS0024,2014,12,22,,1
KS0024,2014,12,22,Democratic,8194
KS0024,2014,12,22,Libertarian,381
KS0024,2014,12,22,Republican,21724
KS0024,2014,12,22,Unaffiliated,14477
KS0025,2014,12,22,Democratic,9711
KS0025,2014,12,22,Libertarian,357
KS0025,2014,12,22,Republican,10850
KS0025,2014,12,22,Unaffiliated,14132
KS0026,2014,12,22,Democratic,7575
KS0026,2014,12,22,Libertarian,310
KS0026,2014,12,22,Republican,19137
KS0026,2014,12,22,Unaffiliated,15312
KS0027,2014,12,22,Democratic,7895
KS0027,2014,12,22,Libertarian,307
KS0027,2014,12,22,Republican,23764
KS0027,2014,12,22,Unaffiliated,14873
KS0028,2014,12,22,Democratic,8567
KS0028,2014,12,22,Libertarian,297
KS0028,2014,12,22,Republican,10594
KS0028,2014,12,22,Unaffiliated,13942
KS0029,2014,12,22,Democratic,14525
KS0029,2014,12,22,Libertarian,266
KS0029,2014,12,22,Republican,7004
KS0029,2014,12,22,Unaffiliated,12014
KS0030,2014,12,22,Democratic,10412
KS0030,2014,12,22,Libertarian,336
KS0030,2014,12,22,Republican,18741
KS0030,2014,12,22,Unaffiliated,13925
KS0031,2014,12,22,,1
KS0031,2014,12,22,Democratic,8703
KS0031,2014,12,22,Libertarian,303
KS0031,2014,12,22,Republican,22215
KS0031,2014,12,22,Unaffiliated,14124
KS0032,2014,12,22,,24
KS0032,2014,12,22,Democratic,9692
KS0032,2014,12,22,Libertarian,297
KS0032,2014,12,22,Republican,21269
KS0032,2014,12,22,Unaffiliated,12351
KS0033,2014,12,22,,13
KS0033,2014,12,22,Democratic,7303
KS0033,2014,12,22,Libertarian,218
KS0033,2014,12,22,Republican,26885
KS0033,2014,12,22,Unaffiliated,10169
KS0034,2014,12,22,,2
KS0034,2014,12,22,Democratic,10206
KS0034,2014,12,22,Libertarian,338
KS0034,2014,12,22,Republican,21167
KS0034,2014,12,22,Unaffiliated,14013
KS0035,2014,12,22,,6
KS0035,2014,12,22,Democratic,7181
KS0035,2014,12,22,Libertarian,288
KS0035,2014,12,22,Republican,24695
KS0035,2014,12,22,Unaffiliated,10050
KS0036,2014,12,22,,9
KS0036,2014,12,22,Democratic,7037
KS0036,2014,12,22,Libertarian,209
KS0036,2014,12,22,Republican,30377
KS0036,2014,12,22,Unaffiliated,9703
KS0037,2014,12,22,Democratic,8670
KS0037,2014,12,22,Libertarian,403
KS0037,2014,12,22,Republican,24461
KS0037,2014,12,22,Unaffiliated,14733
KS0038,2014,12,22,,2
KS0038,2014,12,22,Democratic,6680
KS0038,2014,12,22,Libertarian,254
KS0038,2014,12,22,Republican,16199
KS0038,2014,12,22,Unaffiliated,10140
KS0039,2014,12,22,,27
KS0039,2014,12,22,Democratic,5746
KS0039,2014,12,22,Libertarian,192
KS0039,2014,12,22,Republican,19618
KS0039,2014,12,22,Unaffiliated,9463
KS0040,2014,12,22,,7
KS0040,2014,12,22,Democratic,8683
KS0040,2014,12,22,Libertarian,308
KS0040,2014,12,22,Republican,27920
KS0040,2014,12,22,Unaffiliated,11053
district_ks,2014,12,22,desc_party,105
,2015,6,11,,35
,2015,6,11,Democratic,361
,2015,6,11,Libertarian,32
,2015,6,11,Republican,445
,2015,6,11,Unaffiliated,1026
KS0001,2015,6,11,,6
KS0001,2015,6,11,Democratic,10055
KS0001,2015,6,11,Libertarian,224
KS0001,2015,6,11,Republican,22453
KS0001,2015,6,11,Unaffiliated,12808
KS0002,2015,6,11,,8
KS0002,2015,6,11,Democratic,18973
KS0002,2015,6,11,Libertarian,616
KS0002,2015,6,11,Republican,17021
KS0002,2015,6,11,Unaffiliated,20574
KS0003,2015,6,11,,13
KS0003,2015,6,11,Democratic,14298
KS0003,2015,6,11,Libertarian,463
KS0003,2015,6,11,Republican,17366
KS0003,2015,6,11,Unaffiliated,18193
KS0004,2015,6,11,Democratic,20098
KS0004,2015,6,11,Libertarian,161
KS0004,2015,6,11,Republican,3387
KS0004,2015,6,11,Unaffiliated,8988
KS0005,2015,6,11,,2
KS0005,2015,6,11,Democratic,12748
KS0005,2015,6,11,Libertarian,339
KS0005,2015,6,11,Republican,13482
KS0005,2015,6,11,Unaffiliated,14093
KS0006,2015,6,11,,1
KS0006,2015,6,11,Democratic,12855
KS0006,2015,6,11,Libertarian,245
KS0006,2015,6,11,Republican,5933
KS0006,2015,6,11,Unaffiliated,10560
KS0007,2015,6,11,Democratic,14268
KS0007,2015,6,11,Libertarian,492
KS0007,2015,6,11,Republican,23123
KS0007,2015,6,11,Unaffiliated,16152
KS0008,2015,6,11,Democratic,11027
KS0008,2015,6,11,Libertarian,450
KS0008,2015,6,11,Republican,22881
KS0008,2015,6,11,Unaffiliated,15366
KS0009,2015,6,11,Democratic,9579
KS0009,2015,6,11,Libertarian,497
KS0009,2015,6,11,Republican,20624
KS0009,2015,6,11,Unaffiliated,14285
KS0010,2015,6,11,Democratic,11575
KS0010,2015,6,11,Libertarian,402
KS0010,2015,6,11,Republican,20256
KS0010,2015,6,11,Unaffiliated,15020
KS0011,2015,6,11,Democratic,9584
KS0011,2015,6,11,Libertarian,365
KS0011,2015,6,11,Republican,27830
KS0011,2015,6,11,Unaffiliated,14242
KS0012,2015,6,11,,2
KS0012,2015,6,11,Democratic,9934
KS0012,2015,6,11,Libertarian,362
KS0012,2015,6,11,Republican,22307
KS0012,2015,6,11,Unaffiliated,14509
KS0013,2015,6,11,,2
KS0013,2015,6,11,Democratic,15330
KS0013,2015,6,11,Libertarian,359
KS0013,2015,6,11,Republican,17090
KS0013,2015,6,11,Unaffiliated,17182
KS0014,2015,6,11,,153
KS0014,2015,6,11,Democratic,7680
KS0014,2015,6,11,Libertarian,267
KS0014,2015,6,11,Republican,23677
KS0014,2015,6,11,Unaffiliated,11698
KS0015,2015,6,11,,15
KS0015,2015,6,11,Democratic,10462
KS0015,2015,6,11,Libertarian,362
KS0015,2015,6,11,Republican,20276
KS0015,2015,6,11,Unaffiliated,13995
KS0016,2015,6,11,,80
KS0016,2015,6,11,Democratic,7466
KS0016,2015,6,11,Libertarian,321
KS0016,2015,6,11,Republican,22919
KS0016,2015,6,11,Unaffiliated,14683
KS0017,2015,6,11,,1
KS0017,2015,6,11,Democratic,8961
KS0017,2015,6,11,Libertarian,262
KS0017,2015,6,11,Republican,14746
KS0017,2015,6,11,Unaffiliated,11946
KS0018,2015,6,11,Democratic,11878
KS0018,2015,6,11,Libertarian,340
KS0018,2015,6,11,Republican,16562
KS0018,2015,6,11,Unaffiliated,12873
KS0019,2015,6,11,,3
KS0019,2015,6,11,Democratic,13558
KS0019,2015,6,11,Libertarian,308
KS0019,2015,6,11,Republican,15166
KS0019,2015,6,11,Unaffiliated,13193
KS0020,2015,6,11,Democratic,12272
KS0020,2015,6,11,Libertarian,348
KS0020,2015,6,11,Republican,21031
KS0020,2015,6,11,Unaffiliated,13202
KS0021,2015,6,11,Democratic,11852
KS0021,2015,6,11,Libertarian,505
KS0021,2015,6,11,Republican,20305
KS0021,2015,6,11,Unaffiliated,15142
KS0022,2015,6,11,,4
KS0022,2015,6,11,Democratic,8560
KS0022,2015,6,11,Libertarian,414
KS0022,2015,6,11,Republican,19241
KS0022,2015,6,11,Unaffiliated,13731
KS0023,2015,6,11,Democratic,9324
KS0023,2015,6,11,Libertarian,440
KS0023,2015,6,11,Republican,20029
KS0023,2015,6,11,Unaffiliated,13943
KS0024,2015,6,11,,5
KS0024,2015,6,11,Democratic,7827
KS0024,2015,6,11,Libertarian,374
KS0024,2015,6,11,Republican,21060
KS0024,2015,6,11,Unaffiliated,14211
KS0025,2015,6,11,Democratic,9390
KS0025,2015,6,11,Libertarian,355
KS0025,2015,6,11,Republican,10557
KS0025,2015,6,11,Unaffiliated,14067
KS0026,2015,6,11,Democratic,7420
KS0026,2015,6,11,Libertarian,321
KS0026,2015,6,11,Republican,18859
KS0026,2015,6,11,Unaffiliated,15323
KS0027,2015,6,11,Democratic,7685
KS0027,2015,6,11,Libertarian,303
KS0027,2015,6,11,Republican,23341
KS0027,2015,6,11,Unaffiliated,14766
KS0028,2015,6,11,Democratic,8291
KS0028,2015,6,11,Libertarian,298
KS0028,2015,6,11,Republican,10386
KS0028,2015,6,11,Unaffiliated,13881
KS0029,2015,6,11,Democratic,14026
KS0029,2015,6,11,Libertarian,264
KS0029,2015,6,11,Republican,6829
KS0029,2015,6,11,Unaffiliated,12009
KS0030,2015,6,11,Democratic,10079
KS0030,2015,6,11,Libertarian,338
KS0030,2015,6,11,Republican,18375
KS0030,2015,6,11,Unaffiliated,13799
KS0031,2015,6,11,Democratic,8408
KS0031,2015,6,11,Libertarian,308
KS0031,2015,6,11,Republican,21741
KS0031,2015,6,11,Unaffiliated,13966
KS0032,2015,6,11,,23
KS0032,2015,6,11,Democratic,9244
KS0032,2015,6,11,Libertarian,287
KS0032,2015,6,11,Republican,20837
KS0032,2015,6,11,Unaffiliated,12034
KS0033,2015,6,11,,11
KS0033,2015,6,11,Democratic,7150
KS0033,2015,6,11,Libertarian,223
KS0033,2015,6,11,Republican,26616
KS0033,2015,6,11,Unaffiliated,10190
KS0034,2015,6,11,,3
KS0034,2015,6,11,Democratic,10179
KS0034,2015,6,11,Libertarian,348
KS0034,2015,6,11,Republican,21230
KS0034,2015,6,11,Unaffiliated,14165
KS0035,2015,6,11,,14
KS0035,2015,6,11,Democratic,7099
KS0035,2015,6,11,Libertarian,300
KS0035,2015,6,11,Republican,24540
KS0035,2015,6,11,Unaffiliated,10294
KS0036,2015,6,11,,11
KS0036,2015,6,11,Democratic,6811
KS0036,2015,6,11,Libertarian,208
KS0036,2015,6,11,Republican,29843
KS0036,2015,6,11,Unaffiliated,9577
KS0037,2015,6,11,Democratic,8638
KS0037,2015,6,11,Libertarian,425
KS0037,2015,6,11,Republican,24545
KS0037,2015,6,11,Unaffiliated,14953
KS0038,2015,6,11,,2
KS0038,2015,6,11,Democratic,6648
KS0038,2015,6,11,Libertarian,263
KS0038,2015,6,11,Republican,16211
KS0038,2015,6,11,Unaffiliated,10395
KS0039,2015,6,11,,27
KS0039,2015,6,11,Democratic,5735
KS0039,2015,6,11,Libertarian,205
KS0039,2015,6,11,Republican,19506
KS0039,2015,6,11,Unaffiliated,9730
KS0040,2015,6,11,,8
KS0040,2015,6,11,Democratic,8411
KS0040,2015,6,11,Libertarian,312
KS0040,2015,6,11,Republican,27572
KS0040,2015,6,11,Unaffiliated,11017
district_ks,2015,6,11,desc_party,105
,2015,9,4,Democratic,366
,2015,9,4,Libertarian,32
,2015,9,4,Republican,438
,2015,9,4,Unaffiliated,1024
KS0001,2015,9,4,Democratic,9998
KS0001,2015,9,4,Libertarian,224
KS0001,2015,9,4,Republican,22356
KS0001,2015,9,4,Unaffiliated,12942
KS0002,2015,9,4,Democratic,19048
KS0002,2015,9,4,Libertarian,609
KS0002,2015,9,4,Republican,16954
KS0002,2015,9,4,Unaffiliated,20618
KS0003,2015,9,4,Democratic,14306
KS0003,2015,9,4,Libertarian,459
KS0003,2015,9,4,Republican,17345
KS0003,2015,9,4,Unaffiliated,18309
KS0004,2015,9,4,Democratic,20099
KS0004,2015,9,4,Libertarian,164
KS0004,2015,9,4,Republican,3422
KS0004,2015,9,4,Unaffiliated,9200
KS0005,2015,9,4,Democratic,12722
KS0005,2015,9,4,Libertarian,340
KS0005,2015,9,4,Republican,13526
KS0005,2015,9,4,Unaffiliated,14314
KS0006,2015,9,4,Democratic,12887
KS0006,2015,9,4,Libertarian,253
KS0006,2015,9,4,Republican,5928
KS0006,2015,9,4,Unaffiliated,10728
KS0007,2015,9,4,Democratic,14436
KS0007,2015,9,4,Libertarian,490
KS0007,2015,9,4,Republican,23191
KS0007,2015,9,4,Unaffiliated,16361
KS0008,2015,9,4,Democratic,11162
KS0008,2015,9,4,Libertarian,463
KS0008,2015,9,4,Republican,22993
KS0008,2015,9,4,Unaffiliated,15525
KS0009,2015,9,4,Democratic,9659
KS0009,2015,9,4,Libertarian,509
KS0009,2015,9,4,Republican,20713
KS0009,2015,9,4,Unaffiliated,14427
KS0010,2015,9,4,Democratic,11654
KS0010,2015,9,4,Libertarian,404
KS0010,2015,9,4,Republican,20229
KS0010,2015,9,4,Unaffiliated,15149
KS0011,2015,9,4,Democratic,9696
KS0011,2015,9,4,Libertarian,365
KS0011,2015,9,4,Republican,27969
KS0011,2015,9,4,Unaffiliated,14471
KS0012,2015,9,4,Democratic,9863
KS0012,2015,9,4,Libertarian,359
KS0012,2015,9,4,Republican,22232
KS0012,2015,9,4,Unaffiliated,14566
KS0013,2015,9,4,Democratic,15267
KS0013,2015,9,4,Libertarian,357
KS0013,2015,9,4,Republican,17114
KS0013,2015,9,4,Unaffiliated,17417
KS0014,2015,9,4,Democratic,7613
KS0014,2015,9,4,Libertarian,269
KS0014,2015,9,4,Republican,23499
KS0014,2015,9,4,Unaffiliated,11717
KS0015,2015,9,4,Democratic,10404
KS0015,2015,9,4,Libertarian,360
KS0015,2015,9,4,Republican,20207
KS0015,2015,9,4,Unaffiliated,14115
KS0016,2015,9,4,Democratic,7501
KS0016,2015,9,4,Libertarian,326
KS0016,2015,9,4,Republican,22969
KS0016,2015,9,4,Unaffiliated,15002
KS0017,2015,9,4,Democratic,8959
KS0017,2015,9,4,Libertarian,272
KS0017,2015,9,4,Republican,14820
KS0017,2015,9,4,Unaffiliated,12205
KS0018,2015,9,4,Democratic,11906
KS0018,2015,9,4,Libertarian,347
KS0018,2015,9,4,Republican,16518
KS0018,2015,9,4,Unaffiliated,12973
KS0019,2015,9,4,Democratic,13472
KS0019,2015,9,4,Libertarian,323
KS0019,2015,9,4,Republican,15122
KS0019,2015,9,4,Unaffiliated,13349
KS0020,2015,9,4,Democratic,12268
KS0020,2015,9,4,Libertarian,352
KS0020,2015,9,4,Republican,20974
KS0020,2015,9,4,Unaffiliated,13357
KS0021,2015,9,4,Democratic,11998
KS0021,2015,9,4,Libertarian,519
KS0021,2015,9,4,Republican,20415
KS0021,2015,9,4,Unaffiliated,15395
KS0022,2015,9,4,Democratic,7699
KS0022,2015,9,4,Libertarian,368
KS0022,2015,9,4,Republican,18209
KS0022,2015,9,4,Unaffiliated,12058
KS0023,2015,9,4,Democratic,9423
KS0023,2015,9,4,Libertarian,452
KS0023,2015,9,4,Republican,20114
KS0023,2015,9,4,Unaffiliated,14089
KS0024,2015,9,4,Democratic,7803
KS0024,2015,9,4,Libertarian,381
KS0024,2015,9,4,Republican,21003
KS0024,2015,9,4,Unaffiliated,14392
KS0025,2015,9,4,Democratic,9428
KS0025,2015,9,4,Libertarian,359
KS0025,2015,9,4,Republican,10508
KS0025,2015,9,4,Unaffiliated,14222
KS0026,2015,9,4,Democratic,7433
KS0026,2015,9,4,Libertarian,321
KS0026,2015,9,4,Republican,18871
KS0026,2015,9,4,Unaffiliated,15566
KS0027,2015,9,4,Democratic,7680
KS0027,2015,9,4,Libertarian,306
KS0027,2015,9,4,Republican,23288
KS0027,2015,9,4,Unaffiliated,14974
KS0028,2015,9,4,Democratic,8265
KS0028,2015,9,4,Libertarian,293
KS0028,2015,9,4,Republican,10367
KS0028,2015,9,4,Unaffiliated,14029
KS0029,2015,9,4,Democratic,14009
KS0029,2015,9,4,Libertarian,269
KS0029,2015,9,4,Republican,6804
KS0029,2015,9,4,Unaffiliated,12164
KS0030,2015,9,4,Democratic,10088
KS0030,2015,9,4,Libertarian,341
KS0030,2015,9,4,Republican,18298
KS0030,2015,9,4,Unaffiliated,14075
KS0031,2015,9,4,Democratic,8401
KS0031,2015,9,4,Libertarian,311
KS0031,2015,9,4,Republican,21742
KS0031,2015,9,4,Unaffiliated,14105
KS0032,2015,9,4,Democratic,9178
KS0032,2015,9,4,Libertarian,294
KS0032,2015,9,4,Republican,20794
KS0032,2015,9,4,Unaffiliated,12080
KS0033,2015,9,4,Democratic,7063
KS0033,2015,9,4,Libertarian,221
KS0033,2015,9,4,Republican,26429
KS0033,2015,9,4,Unaffiliated,10165
KS0034,2015,9,4,Democratic,9980
KS0034,2015,9,4,Libertarian,338
KS0034,2015,9,4,Republican,20886
KS0034,2015,9,4,Unaffiliated,13955
KS0035,2015,9,4,Democratic,7043
KS0035,2015,9,4,Libertarian,300
KS0035,2015,9,4,Republican,24396
KS0035,2015,9,4,Unaffiliated,10325
KS0036,2015,9,4,Democratic,6771
KS0036,2015,9,4,Libertarian,206
KS0036,2015,9,4,Republican,29715
KS0036,2015,9,4,Unaffiliated,9576
KS0037,2015,9,4,Democratic,8678
KS0037,2015,9,4,Libertarian,426
KS0037,2015,9,4,Republican,24627
KS0037,2015,9,4,Unaffiliated,15116
KS0038,2015,9,4,Democratic,6660
KS0038,2015,9,4,Libertarian,270
KS0038,2015,9,4,Republican,16167
KS0038,2015,9,4,Unaffiliated,10482
KS0039,2015,9,4,Democratic,5765
KS0039,2015,9,4,Libertarian,213
KS0039,2015,9,4,Republican,19513
KS0039,2015,9,4,Unaffiliated,9904
KS0040,2015,9,4,Democratic,8325
KS0040,2015,9,4,Libertarian,314
KS0040,2015,9,4,Republican,27484
KS0040,2015,9,4,Unaffiliated,10982
district_ks,2015,9,4,desc_party,105
,2015,11,5,Democratic,281
,2015,11,5,Libertarian,31
,2015,11,5,Republican,332
,2015,11,5,Unaffiliated,749
KS0001,2015,11,5,Democratic,9953
KS0001,2015,11,5,Libertarian,226
KS0001,2015,11,5,Republican,22337
KS0001,2015,11,5,Unaffiliated,12989
KS0002,2015,11,5,Democratic,19196
KS0002,2015,11,5,Libertarian,610
KS0002,2015,11,5,Republican,16950
KS0002,2015,11,5,Unaffiliated,20631
KS0003,2015,11,5,Democratic,14374
KS0003,2015,11,5,Libertarian,468
KS0003,2015,11,5,Republican,17347
KS0003,2015,11,5,Unaffiliated,18399
KS0004,2015,11,5,Democratic,19896
KS0004,2015,11,5,Libertarian,159
KS0004,2015,11,5,Republican,3385
KS0004,2015,11,5,Unaffiliated,8935
KS0005,2015,11,5,Democratic,12666
KS0005,2015,11,5,Libertarian,344
KS0005,2015,11,5,Republican,13480
KS0005,2015,11,5,Unaffiliated,14270
KS0006,2015,11,5,Democratic,12744
KS0006,2015,11,5,Libertarian,248
KS0006,2015,11,5,Republican,5871
KS0006,2015,11,5,Unaffiliated,10467
KS0007,2015,11,5,Democratic,14585
KS0007,2015,11,5,Libertarian,491
KS0007,2015,11,5,Republican,23226
KS0007,2015,11,5,Unaffiliated,16515
KS0008,2015,11,5,Democratic,11292
KS0008,2015,11,5,Libertarian,465
KS0008,2015,11,5,Republican,23049
KS0008,2015,11,5,Unaffiliated,15685
KS0009,2015,11,5,Democratic,9750
KS0009,2015,11,5,Libertarian,516
KS0009,2015,11,5,Republican,20828
KS0009,2015,11,5,Unaffiliated,14557
KS0010,2015,11,5,Democratic,11774
KS0010,2015,11,5,Libertarian,400
KS0010,2015,11,5,Republican,20339
KS0010,2015,11,5,Unaffiliated,15245
KS0011,2015,11,5,Democratic,9798
KS0011,2015,11,5,Libertarian,369
KS0011,2015,11,5,Republican,28111
KS0011,2015,11,5,Unaffiliated,14595
KS0012,2015,11,5,Democratic,9785
KS0012,2015,11,5,Libertarian,355
KS0012,2015,11,5,Republican,22204
KS0012,2015,11,5,Unaffiliated,14560
KS0013,2015,11,5,Democratic,15189
KS0013,2015,11,5,Libertarian,357
KS0013,2015,11,5,Republican,17127
KS0013,2015,11,5,Unaffiliated,17474
KS0014,2015,11,5,Democratic,7553
KS0014,2015,11,5,Libertarian,271
KS0014,2015,11,5,Republican,23463
KS0014,2015,11,5,Unaffiliated,11625
KS0015,2015,11,5,Democratic,10306
KS0015,2015,11,5,Libertarian,354
KS0015,2015,11,5,Republican,20046
KS0015,2015,11,5,Unaffiliated,14006
KS0016,2015,11,5,Democratic,7537
KS0016,2015,11,5,Libertarian,324
KS0016,2015,11,5,Republican,22986
KS0016,2015,11,5,Unaffiliated,14939
KS0017,2015,11,5,Democratic,9024
KS0017,2015,11,5,Libertarian,273
KS0017,2015,11,5,Republican,14878
KS0017,2015,11,5,Unaffiliated,12476
KS0018,2015,11,5,Democratic,11927
KS0018,2015,11,5,Libertarian,353
KS0018,2015,11,5,Republican,16541
KS0018,2015,11,5,Unaffiliated,13081
KS0019,2015,11,5,Democratic,13442
KS0019,2015,11,5,Libertarian,322
KS0019,2015,11,5,Republican,15091
KS0019,2015,11,5,Unaffiliated,13439
KS0020,2015,11,5,Democratic,12282
KS0020,2015,11,5,Libertarian,346
KS0020,2015,11,5,Republican,20944
KS0020,2015,11,5,Unaffiliated,13435
KS0021,2015,11,5,Democratic,12081
KS0021,2015,11,5,Libertarian,525
KS0021,2015,11,5,Republican,20535
KS0021,2015,11,5,Unaffiliated,15574
KS0022,2015,11,5,Democratic,7760
KS0022,2015,11,5,Libertarian,372
KS0022,2015,11,5,Republican,18128
KS0022,2015,11,5,Unaffiliated,11882
KS0023,2015,11,5,Democratic,9512
KS0023,2015,11,5,Libertarian,456
KS0023,2015,11,5,Republican,20195
KS0023,2015,11,5,Unaffiliated,14235
KS0024,2015,11,5,Democratic,7819
KS0024,2015,11,5,Libertarian,387
KS0024,2015,11,5,Republican,20966
KS0024,2015,11,5,Unaffiliated,14487
KS0025,2015,11,5,Democratic,9387
KS0025,2015,11,5,Libertarian,343
KS0025,2015,11,5,Republican,10436
KS0025,2015,11,5,Unaffiliated,14062
KS0026,2015,11,5,Democratic,7363
KS0026,2015,11,5,Libertarian,324
KS0026,2015,11,5,Republican,18866
KS0026,2015,11,5,Unaffiliated,15471
KS0027,2015,11,5,Democratic,7733
KS0027,2015,11,5,Libertarian,304
KS0027,2015,11,5,Republican,23223
KS0027,2015,11,5,Unaffiliated,14936
KS0028,2015,11,5,Democratic,8223
KS0028,2015,11,5,Libertarian,282
KS0028,2015,11,5,Republican,10268
KS0028,2015,11,5,Unaffiliated,13830
KS0029,2015,11,5,Democratic,13875
KS0029,2015,11,5,Libertarian,271
KS0029,2015,11,5,Republican,6732
KS0029,2015,11,5,Unaffiliated,12066
KS0030,2015,11,5,Democratic,10045
KS0030,2015,11,5,Libertarian,338
KS0030,2015,11,5,Republican,18271
KS0030,2015,11,5,Unaffiliated,14022
KS0031,2015,11,5,Democratic,8404
KS0031,2015,11,5,Libertarian,319
KS0031,2015,11,5,Republican,21759
KS0031,2015,11,5,Unaffiliated,14141
KS0032,2015,11,5,Democratic,9139
KS0032,2015,11,5,Libertarian,298
KS0032,2015,11,5,Republican,20779
KS0032,2015,11,5,Unaffiliated,12083
KS0033,2015,11,5,Democratic,7019
KS0033,2015,11,5,Libertarian,222
KS0033,2015,11,5,Republican,26387
KS0033,2015,11,5,Unaffiliated,10174
KS0034,2015,11,5,Democratic,9870
KS0034,2015,11,5,Libertarian,338
KS0034,2015,11,5,Republican,20653
KS0034,2015,11,5,Unaffiliated,13860
KS0035,2015,11,5,Democratic,6999
KS0035,2015,11,5,Libertarian,295
KS0035,2015,11,5,Republican,24256
KS0035,2015,11,5,Unaffiliated,10269
KS0036,2015,11,5,Democratic,6721
KS0036,2015,11,5,Libertarian,199
KS0036,2015,11,5,Republican,29604
KS0036,2015,11,5,Unaffiliated,9551
KS0037,2015,11,5,Democratic,8665
KS0037,2015,11,5,Libertarian,413
KS0037,2015,11,5,Republican,24691
KS0037,2015,11,5,Unaffiliated,15104
KS0038,2015,11,5,Democratic,6580
KS0038,2015,11,5,Libertarian,260
KS0038,2015,11,5,Republican,16080
