desc_party,district_kr,date,count
Unaffiliated,1,2017-05-11,5550
Republican,1,2017-06-06,6363
Democratic,1,2017-06-06,4521
Unaffiliated,1,2017-06-06,5586
Libertarian,1,2017-06-06,136
Unaffiliated,1,2017-06-23,5572
Democratic,1,2017-06-23,4500
Republican,1,2017-06-23,6363
Libertarian,1,2017-06-23,136
Unaffiliated,1,2017-08-02,5551
Republican,1,2017-08-02,6335
Democratic,1,2017-08-02,4476
Libertarian,1,2017-08-02,136
Republican,1,2017-09-01,6322
Democratic,1,2017-09-01,4471
Libertarian,1,2017-09-01,136
Unaffiliated,1,2017-09-01,5560
Democratic,1,2017-10-05,4449
Republican,1,2017-10-05,6325
Unaffiliated,1,2017-10-05,5554
Libertarian,1,2017-10-05,135
Republican,1,2017-11-02,6321
Libertarian,1,2017-11-02,135
Democratic,1,2017-11-02,4444
Unaffiliated,1,2017-11-02,5553
Republican,1,2017-12-14,6329
Democratic,1,2017-12-14,4428
Unaffiliated,1,2017-12-14,5583
Libertarian,1,2017-12-14,133
Libertarian,2,2014-12-22,95
Democratic,2,2014-12-22,5000
Unaffiliated,2,2014-12-22,4889
Republican,2,2014-12-22,5688
Democratic,2,2015-06-11,4949
Libertarian,2,2015-06-11,91
Unaffiliated,2,2015-06-11,4971
Republican,2,2015-06-11,5707
Democratic,2,2015-09-04,4920
Republican,2,2015-09-04,5713
Libertarian,2,2015-09-04,94
Unaffiliated,2,2015-09-04,5018
Democratic,2,2015-11-05,4881
Republican,2,2015-11-05,5749
Libertarian,2,2015-11-05,94
Unaffiliated,2,2015-11-05,5028
Republican,2,2015-11-19,5753
Libertarian,2,2015-11-19,93
Democratic,2,2015-11-19,4879
Unaffiliated,2,2015-11-19,5035
Democratic,2,2016-02-03,4847
Unaffiliated,2,2016-02-03,5044
Libertarian,2,2016-02-03,94
Republican,2,2016-02-03,5759
Unaffiliated,2,2016-04-21,5039
Republican,2,2016-04-21,5812
Democratic,2,2016-04-21,4872
Libertarian,2,2016-04-21,87
Unaffiliated,2,2016-06-02,5046
Libertarian,2,2016-06-02,91
Democratic,2,2016-06-02,4852
Republican,2,2016-06-02,5792
Democratic,2,2016-08-02,4869
Republican,2,2016-08-02,5827
Libertarian,2,2016-08-02,92
Unaffiliated,2,2016-08-02,5069
Libertarian,2,2016-10-06,96
Democratic,2,2016-10-06,4890
Republican,2,2016-10-06,5977
Unaffiliated,2,2016-10-06,4966
Republican,2,2017-01-12,6052
Unaffiliated,2,2017-01-12,5027
Libertarian,2,2017-01-12,100
Democratic,2,2017-01-12,4821
Democratic,2,2017-02-17,4815
Unaffiliated,2,2017-02-17,5060
Libertarian,2,2017-02-17,100
Republican,2,2017-02-17,6061
Unaffiliated,2,2017-03-07,5071
Libertarian,2,2017-03-07,100
Democratic,2,2017-03-07,4808
Republican,2,2017-03-07,6057
Libertarian,2,2017-04-03,102
Democratic,2,2017-04-03,4802
Republican,2,2017-04-03,6067
Unaffiliated,2,2017-04-03,5083
Democratic,2,2017-05-11,4788
Unaffiliated,2,2017-05-11,5083
Republican,2,2017-05-11,6062
Libertarian,2,2017-05-11,101
Democratic,2,2017-06-06,4779
Republican,2,2017-06-06,6072
Unaffiliated,2,2017-06-06,5108
Libertarian,2,2017-06-06,103
Libertarian,2,2017-06-23,103
Republican,2,2017-06-23,6061
Unaffiliated,2,2017-06-23,5103
Democratic,2,2017-06-23,4762
Libertarian,2,2017-08-02,103
Republican,2,2017-08-02,6057
Democratic,2,2017-08-02,4742
Unaffiliated,2,2017-08-02,5105
Libertarian,2,2017-09-01,102
Democratic,2,2017-09-01,4730
Republican,2,2017-09-01,6067
Unaffiliated,2,2017-09-01,5140
Unaffiliated,2,2017-10-05,5155
Libertarian,2,2017-10-05,102
Republican,2,2017-10-05,6077
Democratic,2,2017-10-05,4707
Democratic,2,2017-11-02,4704
Republican,2,2017-11-02,6116
Unaffiliated,2,2017-11-02,5183
Libertarian,2,2017-11-02,101
Republican,2,2017-12-14,6121
Libertarian,2,2017-12-14,101
Democratic,2,2017-12-14,4682
Unaffiliated,2,2017-12-14,5224
Libertarian,3,2014-12-22,107
Unaffiliated,3,2014-12-22,5008
Democratic,3,2014-12-22,4167
Republican,3,2014-12-22,4322
Republican,3,2015-06-11,4310
Democratic,3,2015-06-11,4146
Unaffiliated,3,2015-06-11,5068
Libertarian,3,2015-06-11,106
Libertarian,3,2015-09-04,106
Unaffiliated,3,2015-09-04,5148
Democratic,3,2015-09-04,4137
Republican,3,2015-09-04,4342
Unaffiliated,3,2015-11-05,5178
Republican,3,2015-11-05,4354
Democratic,3,2015-11-05,4154
Libertarian,3,2015-11-05,106
Democratic,3,2015-11-19,4156
Unaffiliated,3,2015-11-19,5191
Republican,3,2015-11-19,4354
Libertarian,3,2015-11-19,107
Republican,3,2016-02-03,4377
Democratic,3,2016-02-03,4141
Libertarian,3,2016-02-03,108
Unaffiliated,3,2016-02-03,5235
Unaffiliated,3,2016-04-21,5019
Libertarian,3,2016-04-21,103
Republican,3,2016-04-21,4361
Democratic,3,2016-04-21,4197
Libertarian,3,2016-06-02,102
Unaffiliated,3,2016-06-02,5009
Republican,3,2016-06-02,4365
Democratic,3,2016-06-02,4197
Democratic,3,2016-08-02,4217
Unaffiliated,3,2016-08-02,5057
Libertarian,3,2016-08-02,105
Republican,3,2016-08-02,4391
Libertarian,3,2016-10-06,113
Republican,3,2016-10-06,4506
Unaffiliated,3,2016-10-06,5123
Democratic,3,2016-10-06,4288
Unaffiliated,3,2017-01-12,5233
Republican,3,2017-01-12,4561
Democratic,3,2017-01-12,4278
Libertarian,3,2017-01-12,128
Libertarian,3,2017-02-17,130
Unaffiliated,3,2017-02-17,5268
Democratic,3,2017-02-17,4261
Republican,3,2017-02-17,4574
Republican,3,2017-03-07,4573
Libertarian,3,2017-03-07,130
Unaffiliated,3,2017-03-07,5272
Democratic,3,2017-03-07,4258
Republican,3,2017-04-03,4579
Democratic,3,2017-04-03,4246
Unaffiliated,3,2017-04-03,5309
Libertarian,3,2017-04-03,132
Democratic,3,2017-05-11,4240
Libertarian,3,2017-05-11,132
Republican,3,2017-05-11,4591
Unaffiliated,3,2017-05-11,5328
Republican,3,2017-06-06,4592
Democratic,3,2017-06-06,4236
Unaffiliated,3,2017-06-06,5362
Libertarian,3,2017-06-06,133
Libertarian,3,2017-06-23,132
Democratic,3,2017-06-23,4229
Unaffiliated,3,2017-06-23,5376
Republican,3,2017-06-23,4592
Republican,3,2017-08-02,4584
Democratic,3,2017-08-02,4214
Libertarian,3,2017-08-02,132
Unaffiliated,3,2017-08-02,5373
Republican,3,2017-09-01,4601
Libertarian,3,2017-09-01,130
Unaffiliated,3,2017-09-01,5418
Democratic,3,2017-09-01,4221
Unaffiliated,3,2017-10-05,5481
Democratic,3,2017-10-05,4218
Libertarian,3,2017-10-05,130
Republican,3,2017-10-05,4604
Libertarian,3,2017-11-02,131
Unaffiliated,3,2017-11-02,5497
Democratic,3,2017-11-02,4207
Republican,3,2017-11-02,4612
Democratic,3,2017-12-14,4192
Republican,3,2017-12-14,4599
Libertarian,3,2017-12-14,133
Unaffiliated,3,2017-12-14,5566
Republican,4,2014-12-22,7713
Unaffiliated,4,2014-12-22,5373
Democratic,4,2014-12-22,4016
Libertarian,4,2014-12-22,116
Libertarian,4,2015-06-11,122
Republican,4,2015-06-11,7673
Unaffiliated,4,2015-06-11,5449
Democratic,4,2015-06-11,3964
Unaffiliated,4,2015-09-04,5500
Republican,4,2015-09-04,7664
Democratic,4,2015-09-04,3956
Libertarian,4,2015-09-04,120
Democratic,4,2015-11-05,3928
Unaffiliated,4,2015-11-05,5510
Libertarian,4,2015-11-05,119
Republican,4,2015-11-05,7655
Libertarian,4,2015-11-19,119
Republican,4,2015-11-19,7653
Democratic,4,2015-11-19,3923
Unaffiliated,4,2015-11-19,5507
Republican,4,2016-02-03,7498
Unaffiliated,4,2016-02-03,5231
Democratic,4,2016-02-03,3754
Libertarian,4,2016-02-03,112
Democratic,4,2016-04-21,3768
Republican,4,2016-04-21,7593
Unaffiliated,4,2016-04-21,5219
Libertarian,4,2016-04-21,110
Republican,4,2016-06-02,7582
Democratic,4,2016-06-02,3745
Unaffiliated,4,2016-06-02,5226
Libertarian,4,2016-06-02,109
Democratic,4,2016-08-02,3758
Libertarian,4,2016-08-02,114
Republican,4,2016-08-02,7657
Unaffiliated,4,2016-08-02,5234
Unaffiliated,4,2016-10-06,5114
Democratic,4,2016-10-06,3815
Libertarian,4,2016-10-06,122
Republican,4,2016-10-06,7912
Unaffiliated,4,2017-01-12,5199
Republican,4,2017-01-12,7969
Libertarian,4,2017-01-12,134
Democratic,4,2017-01-12,3770
Democratic,4,2017-02-17,3778
Libertarian,4,2017-02-17,136
Unaffiliated,4,2017-02-17,5231
Republican,4,2017-02-17,7982
Democratic,4,2017-03-07,3778
Unaffiliated,4,2017-03-07,5230
Republican,4,2017-03-07,7987
Libertarian,4,2017-03-07,135
Unaffiliated,4,2017-04-03,5253
Libertarian,4,2017-04-03,134
Republican,4,2017-04-03,7986
Democratic,4,2017-04-03,3777
Democratic,4,2017-05-11,3778
Libertarian,4,2017-05-11,139
Unaffiliated,4,2017-05-11,5263
Republican,4,2017-05-11,7985
Republican,4,2017-06-06,7960
Democratic,4,2017-06-06,3768
Unaffiliated,4,2017-06-06,5275
Libertarian,4,2017-06-06,138
Unaffiliated,4,2017-06-23,5274
Libertarian,4,2017-06-23,138
Republican,4,2017-06-23,7949
Democratic,4,2017-06-23,3768
Democratic,4,2017-08-02,3769
Republican,4,2017-08-02,7934
Libertarian,4,2017-08-02,139
Unaffiliated,4,2017-08-02,5307
Unaffiliated,4,2017-09-01,5312
Republican,4,2017-09-01,7903
Democratic,4,2017-09-01,3739
Libertarian,4,2017-09-01,139
Democratic,4,2017-10-05,3719
Unaffiliated,4,2017-10-05,5334
Libertarian,4,2017-10-05,137
Republican,4,2017-10-05,7911
Libertarian,4,2017-11-02,138
Unaffiliated,4,2017-11-02,5359
Democratic,4,2017-11-02,3718
Republican,4,2017-11-02,7905
Unaffiliated,4,2017-12-14,5395
Republican,4,2017-12-14,7886
Democratic,4,2017-12-14,3708
Libertarian,4,2017-12-14,139
Democratic,5,2014-12-22,3403
Libertarian,5,2014-12-22,117
Unaffiliated,5,2014-12-22,4634
Republican,5,2014-12-22,6367
Democratic,5,2015-06-11,3343
Unaffiliated,5,2015-06-11,4677
Libertarian,5,2015-06-11,121
Republican,5,2015-06-11,6318
Libertarian,5,2015-09-04,119
Republican,5,2015-09-04,6320
Unaffiliated,5,2015-09-04,4704
Democratic,5,2015-09-04,3321
Republican,5,2015-11-05,6325
Democratic,5,2015-11-05,3300
Unaffiliated,5,2015-11-05,4681
Libertarian,5,2015-11-05,118
Democratic,5,2015-11-19,3300
Unaffiliated,5,2015-11-19,4681
Libertarian,5,2015-11-19,119
Republican,5,2015-11-19,6324
Libertarian,5,2016-02-03,115
Democratic,5,2016-02-03,3250
Republican,5,2016-02-03,6291
Unaffiliated,5,2016-02-03,4573
Republican,5,2016-04-21,6329
Unaffiliated,5,2016-04-21,4611
Democratic,5,2016-04-21,3289
Libertarian,5,2016-04-21,112
Democratic,5,2016-06-02,3273
Republican,5,2016-06-02,6335
Libertarian,5,2016-06-02,113
Unaffiliated,5,2016-06-02,4622
Republican,5,2016-08-02,6379
Libertarian,5,2016-08-02,117
Unaffiliated,5,2016-08-02,4672
Democratic,5,2016-08-02,3281
Democratic,5,2016-10-06,3298
Unaffiliated,5,2016-10-06,4600
Republican,5,2016-10-06,6521
Libertarian,5,2016-10-06,124
Unaffiliated,5,2017-01-12,4716
Democratic,5,2017-01-12,3259
Republican,5,2017-01-12,6570
Libertarian,5,2017-01-12,139
Unaffiliated,5,2017-02-17,4732
Republican,5,2017-02-17,6594
Libertarian,5,2017-02-17,139
Democratic,5,2017-02-17,3258
Democratic,5,2017-03-07,3247
Libertarian,5,2017-03-07,140
Unaffiliated,5,2017-03-07,4746
Republican,5,2017-03-07,6586
Unaffiliated,5,2017-04-03,4753
Democratic,5,2017-04-03,3244
Republican,5,2017-04-03,6590
Libertarian,5,2017-04-03,138
Libertarian,5,2017-05-11,140
Republican,5,2017-05-11,6583
Democratic,5,2017-05-11,3230
Unaffiliated,5,2017-05-11,4755
Libertarian,5,2017-06-06,141
Unaffiliated,5,2017-06-06,4750
Republican,5,2017-06-06,6587
Democratic,5,2017-06-06,3220
Libertarian,5,2017-06-23,141
Unaffiliated,5,2017-06-23,4739
Democratic,5,2017-06-23,3219
Republican,5,2017-06-23,6585
Republican,5,2017-08-02,6592
Libertarian,5,2017-08-02,142
Unaffiliated,5,2017-08-02,4762
Democratic,5,2017-08-02,3217
Democratic,5,2017-09-01,3210
Libertarian,5,2017-09-01,144
Unaffiliated,5,2017-09-01,4766
Republican,5,2017-09-01,6583
Democratic,5,2017-10-05,3203
Unaffiliated,5,2017-10-05,4773
Republican,5,2017-10-05,6584
Libertarian,5,2017-10-05,143
Libertarian,5,2017-11-02,144
Republican,5,2017-11-02,6575
Democratic,5,2017-11-02,3200
Unaffiliated,5,2017-11-02,4782
Republican,5,2017-12-14,6588
Democratic,5,2017-12-14,3184
Unaffiliated,5,2017-12-14,4819
Libertarian,5,2017-12-14,145
Democratic,6,2014-12-22,3029
Unaffiliated,6,2014-12-22,4489
Libertarian,6,2014-12-22,122
Republican,6,2014-12-22,7601
Democratic,6,2015-06-11,2936
Republican,6,2015-06-11,7503
Libertarian,6,2015-06-11,123
Unaffiliated,6,2015-06-11,4458
Republican,6,2015-09-04,7470
Libertarian,6,2015-09-04,123
Democratic,6,2015-09-04,2930
Unaffiliated,6,2015-09-04,4522
Democratic,6,2015-11-05,2885
Unaffiliated,6,2015-11-05,4444
Libertarian,6,2015-11-05,116
Republican,6,2015-11-05,7453
Libertarian,6,2015-11-19,116
Unaffiliated,6,2015-11-19,4445
Republican,6,2015-11-19,7453
Democratic,6,2015-11-19,2885
Republican,6,2016-02-03,7490
Libertarian,6,2016-02-03,117
Democratic,6,2016-02-03,2870
Unaffiliated,6,2016-02-03,4482
Unaffiliated,6,2016-04-21,4505
Democratic,6,2016-04-21,2964
Republican,6,2016-04-21,7547
Libertarian,6,2016-04-21,119
Libertarian,6,2016-06-02,121
Unaffiliated,6,2016-06-02,4544
Democratic,6,2016-06-02,2967
Republican,6,2016-06-02,7562
Unaffiliated,6,2016-08-02,4591
Democratic,6,2016-08-02,2994
Libertarian,6,2016-08-02,126
Republican,6,2016-08-02,7610
Republican,6,2016-10-06,7768
Democratic,6,2016-10-06,3054
Libertarian,6,2016-10-06,131
Unaffiliated,6,2016-10-06,4582
Libertarian,6,2017-01-12,144
Republican,6,2017-01-12,7875
Democratic,6,2017-01-12,3048
Unaffiliated,6,2017-01-12,4782
Democratic,6,2017-02-17,3049
Republican,6,2017-02-17,7889
Unaffiliated,6,2017-02-17,4801
Libertarian,6,2017-02-17,146
Unaffiliated,6,2017-03-07,4816
Democratic,6,2017-03-07,3047
Republican,6,2017-03-07,7907
Libertarian,6,2017-03-07,148
Democratic,6,2017-04-03,3047
Republican,6,2017-04-03,7927
Libertarian,6,2017-04-03,148
Unaffiliated,6,2017-04-03,4840
Democratic,6,2017-05-11,3047
Unaffiliated,6,2017-05-11,4868
Republican,6,2017-05-11,7924
Libertarian,6,2017-05-11,150
Unaffiliated,6,2017-06-06,4891
Democratic,6,2017-06-06,3040
Republican,6,2017-06-06,7939
Libertarian,6,2017-06-06,152
Libertarian,6,2017-06-23,151
Democratic,6,2017-06-23,3035
Republican,6,2017-06-23,7933
Unaffiliated,6,2017-06-23,4895
Republican,6,2017-08-02,7945
Unaffiliated,6,2017-08-02,4927
Democratic,6,2017-08-02,3031
Libertarian,6,2017-08-02,153
Unaffiliated,6,2017-09-01,4938
Libertarian,6,2017-09-01,153
Republican,6,2017-09-01,7948
Democratic,6,2017-09-01,3024
Unaffiliated,6,2017-10-05,4945
Democratic,6,2017-10-05,3022
Republican,6,2017-10-05,7969
Libertarian,6,2017-10-05,152
Unaffiliated,6,2017-11-02,4959
Libertarian,6,2017-11-02,153
Republican,6,2017-11-02,7989
Democratic,6,2017-11-02,3021
Unaffiliated,6,2017-12-14,4985
Libertarian,6,2017-12-14,154
Republican,6,2017-12-14,8011
Democratic,6,2017-12-14,3010
Democratic,7,2014-12-22,4187
Republican,7,2014-12-22,6156
Libertarian,7,2014-12-22,134
Unaffiliated,7,2014-12-22,6047
Republican,7,2015-06-11,6118
Unaffiliated,7,2015-06-11,6156
Democratic,7,2015-06-11,4115
Libertarian,7,2015-06-11,137
Republican,7,2015-09-04,6087
Democratic,7,2015-09-04,4081
Unaffiliated,7,2015-09-04,6211
Libertarian,7,2015-09-04,136
Republican,7,2015-11-05,6046
Democratic,7,2015-11-05,4062
Unaffiliated,7,2015-11-05,6232
Libertarian,7,2015-11-05,135
Unaffiliated,7,2015-11-19,6148
Libertarian,7,2015-11-19,134
Republican,7,2015-11-19,6024
Democratic,7,2015-11-19,4051
Libertarian,7,2016-02-03,130
Republican,7,2016-02-03,6021
Democratic,7,2016-02-03,4015
Unaffiliated,7,2016-02-03,6181
Democratic,7,2016-04-21,4012
Republican,7,2016-04-21,6045
Libertarian,7,2016-04-21,128
Unaffiliated,7,2016-04-21,6219
Libertarian,7,2016-06-02,127
Democratic,7,2016-06-02,3994
Republican,7,2016-06-02,6058
Unaffiliated,7,2016-06-02,6235
Unaffiliated,7,2016-08-02,6291
Republican,7,2016-08-02,6054
Libertarian,7,2016-08-02,129
Democratic,7,2016-08-02,3988
Republican,7,2016-10-06,6314
Libertarian,7,2016-10-06,130
Unaffiliated,7,2016-10-06,6050
Democratic,7,2016-10-06,4025
Democratic,7,2017-01-12,3801
Republican,7,2017-01-12,6377
Libertarian,7,2017-01-12,131
Unaffiliated,7,2017-01-12,6042
Democratic,7,2017-02-17,3309
Libertarian,7,2017-02-17,91
Republican,7,2017-02-17,5736
Unaffiliated,7,2017-02-17,4949
Democratic,7,2017-03-07,3302
Republican,7,2017-03-07,5739
Unaffiliated,7,2017-03-07,4889
Libertarian,7,2017-03-07,90
Democratic,7,2017-04-03,3278
Republican,7,2017-04-03,5717
Unaffiliated,7,2017-04-03,4900
Libertarian,7,2017-04-03,90
Democratic,7,2017-05-11,3271
Unaffiliated,7,2017-05-11,4908
Libertarian,7,2017-05-11,90
Republican,7,2017-05-11,5711
Unaffiliated,7,2017-06-06,4929
Libertarian,7,2017-06-06,91
Republican,7,2017-06-06,5711
Democratic,7,2017-06-06,3270
Libertarian,7,2017-06-23,92
Democratic,7,2017-06-23,3275
Republican,7,2017-06-23,5749
Unaffiliated,7,2017-06-23,4985
Republican,7,2017-08-02,5697
Unaffiliated,7,2017-08-02,4976
Democratic,7,2017-08-02,3238
Libertarian,7,2017-08-02,93
Libertarian,7,2017-09-01,94
Unaffiliated,7,2017-09-01,4978
Democratic,7,2017-09-01,3227
Republican,7,2017-09-01,5683
Republican,7,2017-10-05,5677
Libertarian,7,2017-10-05,94
Democratic,7,2017-10-05,3221
Unaffiliated,7,2017-10-05,4978
Republican,7,2017-11-02,5675
Democratic,7,2017-11-02,3217
Unaffiliated,7,2017-11-02,4980
Libertarian,7,2017-11-02,95
Unaffiliated,7,2017-12-14,5027
Republican,7,2017-12-14,5687
Libertarian,7,2017-12-14,95
Democratic,7,2017-12-14,3214
Libertarian,8,2014-12-22,104
Unaffiliated,8,2014-12-22,4727
Democratic,8,2014-12-22,2654
Republican,8,2014-12-22,9275
Libertarian,8,2015-06-11,107
Unaffiliated,8,2015-06-11,4655
Democratic,8,2015-06-11,2636
Republican,8,2015-06-11,8979
Democratic,8,2015-09-04,2670
Libertarian,8,2015-09-04,114
Unaffiliated,8,2015-09-04,4740
Republican,8,2015-09-04,9040
Unaffiliated,8,2015-11-05,4789
Republican,8,2015-11-05,9095
Libertarian,8,2015-11-05,115
Democratic,8,2015-11-05,2712
Unaffiliated,8,2015-11-19,4807
Democratic,8,2015-11-19,2724
Republican,8,2015-11-19,9112
Libertarian,8,2015-11-19,115
Republican,8,2016-02-03,9193
Unaffiliated,8,2016-02-03,4844
Democratic,8,2016-02-03,2771
Libertarian,8,2016-02-03,113
Libertarian,8,2016-04-21,112
Unaffiliated,8,2016-04-21,4820
Democratic,8,2016-04-21,3007
Republican,8,2016-04-21,9293
Republican,8,2016-06-02,9292
Libertarian,8,2016-06-02,109
Unaffiliated,8,2016-06-02,4794
Democratic,8,2016-06-02,3010
Unaffiliated,8,2016-08-02,4873
Democratic,8,2016-08-02,3128
Libertarian,8,2016-08-02,112
Republican,8,2016-08-02,9577
Unaffiliated,8,2016-10-06,4866
Republican,8,2016-10-06,9822
Libertarian,8,2016-10-06,123
Democratic,8,2016-10-06,3324
Unaffiliated,8,2017-01-12,4825
Democratic,8,2017-01-12,3285
Republican,8,2017-01-12,9587
Libertarian,8,2017-01-12,132
Democratic,8,2017-02-17,3301
Libertarian,8,2017-02-17,135
Republican,8,2017-02-17,9612
Unaffiliated,8,2017-02-17,4865
Republican,8,2017-03-07,9599
Libertarian,8,2017-03-07,134
Unaffiliated,8,2017-03-07,4876
Democratic,8,2017-03-07,3301
Democratic,8,2017-04-03,3310
Republican,8,2017-04-03,9599
Libertarian,8,2017-04-03,136
Unaffiliated,8,2017-04-03,4915
Libertarian,8,2017-05-11,136
Republican,8,2017-05-11,9606
Unaffiliated,8,2017-05-11,4946
Democratic,8,2017-05-11,3312
Republican,8,2017-06-06,9601
Democratic,8,2017-06-06,3315
Libertarian,8,2017-06-06,136
Unaffiliated,8,2017-06-06,4960
Democratic,8,2017-06-23,3313
Republican,8,2017-06-23,9604
Unaffiliated,8,2017-06-23,4978
Libertarian,8,2017-06-23,136
Libertarian,8,2017-08-02,140
Unaffiliated,8,2017-08-02,5076
Republican,8,2017-08-02,9723
Democratic,8,2017-08-02,3371
Republican,8,2017-09-01,9752
Democratic,8,2017-09-01,3409
Unaffiliated,8,2017-09-01,5127
Libertarian,8,2017-09-01,145
Unaffiliated,8,2017-10-05,5163
Republican,8,2017-10-05,9750
Democratic,8,2017-10-05,3419
Libertarian,8,2017-10-05,148
Unaffiliated,8,2017-11-02,5145
Democratic,8,2017-11-02,3386
Libertarian,8,2017-11-02,149
Republican,8,2017-11-02,9711
Republican,8,2017-12-14,9713
Unaffiliated,8,2017-12-14,5204
Libertarian,8,2017-12-14,151
Democratic,8,2017-12-14,3400
Libertarian,9,2014-12-22,132
Democratic,9,2014-12-22,3022
Unaffiliated,9,2014-12-22,4996
Republican,9,2014-12-22,6850
Democratic,9,2015-06-11,2952
Republican,9,2015-06-11,6735
Unaffiliated,9,2015-06-11,4961
Libertarian,9,2015-06-11,135
Democratic,9,2015-09-04,2918
Republican,9,2015-09-04,6707
Libertarian,9,2015-09-04,134
Unaffiliated,9,2015-09-04,4962
Democratic,9,2015-11-05,2880
Libertarian,9,2015-11-05,132
Unaffiliated,9,2015-11-05,4895
Republican,9,2015-11-05,6657
Libertarian,9,2015-11-19,131
Unaffiliated,9,2015-11-19,4899
Democratic,9,2015-11-19,2875
Republican,9,2015-11-19,6654
Libertarian,9,2016-02-03,129
Republican,9,2016-02-03,6649
Unaffiliated,9,2016-02-03,4918
Democratic,9,2016-02-03,2873
Democratic,9,2016-04-21,2907
Unaffiliated,9,2016-04-21,4905
Libertarian,9,2016-04-21,132
Republican,9,2016-04-21,6650
Republican,9,2016-06-02,6648
Libertarian,9,2016-06-02,131
Democratic,9,2016-06-02,2913
Unaffiliated,9,2016-06-02,4920
Democratic,9,2016-08-02,2942
Libertarian,9,2016-08-02,136
Unaffiliated,9,2016-08-02,4988
Republican,9,2016-08-02,6722
Republican,9,2016-10-06,6942
Unaffiliated,9,2016-10-06,4839
Democratic,9,2016-10-06,2992
Libertarian,9,2016-10-06,137
Libertarian,9,2017-01-12,143
Unaffiliated,9,2017-01-12,4920
Democratic,9,2017-01-12,2976
Republican,9,2017-01-12,6989
Democratic,9,2017-02-17,2969
Unaffiliated,9,2017-02-17,4956
Republican,9,2017-02-17,6997
Libertarian,9,2017-02-17,146
Democratic,9,2017-03-07,2964
Libertarian,9,2017-03-07,146
Unaffiliated,9,2017-03-07,4963
Republican,9,2017-03-07,6987
Democratic,9,2017-04-03,2962
Libertarian,9,2017-04-03,147
Unaffiliated,9,2017-04-03,4975
Republican,9,2017-04-03,6991
Republican,9,2017-05-11,6973
Libertarian,9,2017-05-11,149
Democratic,9,2017-05-11,2953
Unaffiliated,9,2017-05-11,4977
Libertarian,9,2017-06-06,146
Unaffiliated,9,2017-06-06,5004
Republican,9,2017-06-06,6988
Democratic,9,2017-06-06,2961
Democratic,9,2017-06-23,2919
Republican,9,2017-06-23,6930
Unaffiliated,9,2017-06-23,4889
Libertarian,9,2017-06-23,146
Republican,9,2017-08-02,6921
Democratic,9,2017-08-02,2920
Unaffiliated,9,2017-08-02,4893
Libertarian,9,2017-08-02,145
Libertarian,9,2017-09-01,145
Republican,9,2017-09-01,6924
Unaffiliated,9,2017-09-01,4906
Democratic,9,2017-09-01,2906
Democratic,9,2017-10-05,2899
Unaffiliated,9,2017-10-05,4909
Libertarian,9,2017-10-05,147
Republican,9,2017-10-05,6927
Republican,9,2017-11-02,6924
Libertarian,9,2017-11-02,145
Unaffiliated,9,2017-11-02,4918
Democratic,9,2017-11-02,2890
Democratic,9,2017-12-14,2890
Unaffiliated,9,2017-12-14,4962
Republican,9,2017-12-14,6901
Libertarian,9,2017-12-14,144
Republican,10,2014-12-22,4875
Libertarian,10,2014-12-22,187
Democratic,10,2014-12-22,5189
Unaffiliated,10,2014-12-22,5969
Republican,10,2015-06-11,4872
Unaffiliated,10,2015-06-11,6079
