year,Variable,col,Value
2012,Language at Home,"Other, Always or Sometimes",11901
2013,Language at Home,"Other, Always or Sometimes",15719
2014,Language at Home,"Other, Always or Sometimes",15664
2015,Language at Home,"Other, Always or Sometimes",17342
2016,Language at Home,"Other, Always or Sometimes",11739
2012,Poverty,Below 100% of Poverty Level,391734
2013,Poverty,Below 100% of Poverty Level,393358
2014,Poverty,Below 100% of Poverty Level,382712
2015,Poverty,Below 100% of Poverty Level,368879
2016,Poverty,Below 100% of Poverty Level,342544
2012,Poverty,100% to 149% of Poverty Level,268723
2013,Poverty,100% to 149% of Poverty Level,248884
2014,Poverty,100% to 149% of Poverty Level,254371
2015,Poverty,100% to 149% of Poverty Level,250612
2016,Poverty,100% to 149% of Poverty Level,259873
2012,Poverty,150% or Above Poverty Level,2141750
2013,Poverty,150% or Above Poverty Level,2169480
2014,Poverty,150% or Above Poverty Level,2184348
2015,Poverty,150% or Above Poverty Level,2211452
2016,Poverty,150% or Above Poverty Level,2223447
