desc_party,county,date,count
Democratic,Lyon,2015-06-11,4552
Libertarian,Lyon,2015-06-11,152
Republican,Lyon,2015-06-11,7534
Unaffiliated,Lyon,2015-06-11,6632
Democratic,Marion,2015-06-11,1194
Libertarian,Marion,2015-06-11,40
Republican,Marion,2015-06-11,4791
Unaffiliated,Marion,2015-06-11,1861
Democratic,Marshall,2015-06-11,1531
Libertarian,Marshall,2015-06-11,21
Republican,Marshall,2015-06-11,3246
Unaffiliated,Marshall,2015-06-11,1673
Democratic,McPherson,2015-06-11,2592
Libertarian,McPherson,2015-06-11,130
Republican,McPherson,2015-06-11,9686
Unaffiliated,McPherson,2015-06-11,4012
Democratic,Meade,2015-06-11,380
Libertarian,Meade,2015-06-11,18
Republican,Meade,2015-06-11,2115
Unaffiliated,Meade,2015-06-11,661
Democratic,Miami,2015-06-11,4356
Libertarian,Miami,2015-06-11,170
Republican,Miami,2015-06-11,10164
Unaffiliated,Miami,2015-06-11,6549
Democratic,Mitchell,2015-06-11,656
Libertarian,Mitchell,2015-06-11,9
Republican,Mitchell,2015-06-11,2596
Unaffiliated,Mitchell,2015-06-11,916
Democratic,Montgomery,2015-06-11,4483
Libertarian,Montgomery,2015-06-11,139
Republican,Montgomery,2015-06-11,10011
Unaffiliated,Montgomery,2015-06-11,4568
Democratic,Morris,2015-06-11,733
Libertarian,Morris,2015-06-11,28
Republican,Morris,2015-06-11,2087
Unaffiliated,Morris,2015-06-11,955
Democratic,Morton,2015-06-11,278
Libertarian,Morton,2015-06-11,12
Republican,Morton,2015-06-11,1355
Unaffiliated,Morton,2015-06-11,322
Democratic,Nemaha,2015-06-11,1587
Libertarian,Nemaha,2015-06-11,28
Republican,Nemaha,2015-06-11,3714
Unaffiliated,Nemaha,2015-06-11,1828
Democratic,Neosho,2015-06-11,2365
Libertarian,Neosho,2015-06-11,104
Republican,Neosho,2015-06-11,5120
Unaffiliated,Neosho,2015-06-11,3742
Democratic,Ness,2015-06-11,323
Libertarian,Ness,2015-06-11,7
Republican,Ness,2015-06-11,1337
Unaffiliated,Ness,2015-06-11,362
