desc_party,district_ks,date,count
Libertarian,2,2017-10-05,591
Republican,2,2017-10-05,16076
Unaffiliated,2,2017-10-05,18569
Libertarian,2,2017-11-02,596
Unaffiliated,2,2017-11-02,18645
Democratic,2,2017-11-02,19967
Republican,2,2017-11-02,16083
Libertarian,2,2017-12-14,597
Democratic,2,2017-12-14,19966
Republican,2,2017-12-14,16080
Unaffiliated,2,2017-12-14,18799
Unaffiliated,3,2014-12-22,17944
Democratic,3,2014-12-22,14372
Republican,3,2014-12-22,17388
Libertarian,3,2014-12-22,452
Unaffiliated,3,2015-06-11,18193
Democratic,3,2015-06-11,14298
Libertarian,3,2015-06-11,463
Republican,3,2015-06-11,17366
Republican,3,2015-09-04,17345
Unaffiliated,3,2015-09-04,18309
Libertarian,3,2015-09-04,459
Democratic,3,2015-09-04,14306
Republican,3,2015-11-05,17347
Libertarian,3,2015-11-05,468
Democratic,3,2015-11-05,14374
Unaffiliated,3,2015-11-05,18399
Democratic,3,2015-11-19,14369
Republican,3,2015-11-19,17362
Unaffiliated,3,2015-11-19,18371
Libertarian,3,2015-11-19,466
Republican,3,2016-02-03,17403
Democratic,3,2016-02-03,14437
Libertarian,3,2016-02-03,474
Unaffiliated,3,2016-02-03,18325
Democratic,3,2016-04-21,15052
Libertarian,3,2016-04-21,466
Unaffiliated,3,2016-04-21,17973
Republican,3,2016-04-21,17496
Democratic,3,2016-06-02,15057
Unaffiliated,3,2016-06-02,18027
Libertarian,3,2016-06-02,474
Republican,3,2016-06-02,17510
Republican,3,2016-08-02,17677
Democratic,3,2016-08-02,15121
Unaffiliated,3,2016-08-02,18193
Libertarian,3,2016-08-02,486
Libertarian,3,2016-10-06,510
Republican,3,2016-10-06,18232
Unaffiliated,3,2016-10-06,17921
Democratic,3,2016-10-06,15434
Republican,3,2017-01-12,18459
Unaffiliated,3,2017-01-12,18496
Libertarian,3,2017-01-12,546
Democratic,3,2017-01-12,15547
Democratic,3,2017-02-17,15474
Libertarian,3,2017-02-17,549
Unaffiliated,3,2017-02-17,18451
Republican,3,2017-02-17,18360
Democratic,3,2017-03-07,15439
Unaffiliated,3,2017-03-07,18377
Republican,3,2017-03-07,18301
Libertarian,3,2017-03-07,549
Unaffiliated,3,2017-04-03,17014
Democratic,3,2017-04-03,14417
Republican,3,2017-04-03,17687
Libertarian,3,2017-04-03,502
Libertarian,3,2017-05-11,489
Unaffiliated,3,2017-05-11,16690
Republican,3,2017-05-11,17496
Democratic,3,2017-05-11,14228
Libertarian,3,2017-06-06,503
Democratic,3,2017-06-06,14245
Unaffiliated,3,2017-06-06,16791
Republican,3,2017-06-06,17500
Unaffiliated,3,2017-06-23,16597
Republican,3,2017-06-23,17349
Democratic,3,2017-06-23,14163
Libertarian,3,2017-06-23,500
Unaffiliated,3,2017-08-02,16539
Libertarian,3,2017-08-02,496
Democratic,3,2017-08-02,14109
Republican,3,2017-08-02,17255
Libertarian,3,2017-09-01,490
Republican,3,2017-09-01,17207
Unaffiliated,3,2017-09-01,16538
Democratic,3,2017-09-01,14070
Unaffiliated,3,2017-10-05,16544
Republican,3,2017-10-05,17040
Democratic,3,2017-10-05,14030
Libertarian,3,2017-10-05,491
Republican,3,2017-11-02,17056
Unaffiliated,3,2017-11-02,16648
Democratic,3,2017-11-02,14034
Libertarian,3,2017-11-02,490
Unaffiliated,3,2017-12-14,16728
Republican,3,2017-12-14,17064
Libertarian,3,2017-12-14,488
Democratic,3,2017-12-14,14040
Democratic,4,2014-12-22,23129
Unaffiliated,4,2014-12-22,10722
Libertarian,4,2014-12-22,187
Republican,4,2014-12-22,3775
Unaffiliated,4,2015-06-11,8988
Democratic,4,2015-06-11,20098
Republican,4,2015-06-11,3387
Libertarian,4,2015-06-11,161
Republican,4,2015-09-04,3422
Libertarian,4,2015-09-04,164
Unaffiliated,4,2015-09-04,9200
Democratic,4,2015-09-04,20099
Libertarian,4,2015-11-05,159
Democratic,4,2015-11-05,19896
Unaffiliated,4,2015-11-05,8935
Republican,4,2015-11-05,3385
Democratic,4,2015-11-19,19902
Unaffiliated,4,2015-11-19,8954
Libertarian,4,2015-11-19,158
Republican,4,2015-11-19,3385
Unaffiliated,4,2016-02-03,9178
Libertarian,4,2016-02-03,161
Democratic,4,2016-02-03,19890
Republican,4,2016-02-03,3410
Democratic,4,2016-04-21,20265
Republican,4,2016-04-21,3433
Libertarian,4,2016-04-21,173
Unaffiliated,4,2016-04-21,9449
Republican,4,2016-06-02,3427
Unaffiliated,4,2016-06-02,9550
Democratic,4,2016-06-02,20324
Libertarian,4,2016-06-02,177
Republican,4,2016-08-02,3538
Unaffiliated,4,2016-08-02,9603
Democratic,4,2016-08-02,20663
Libertarian,4,2016-08-02,183
Unaffiliated,4,2016-10-06,9443
Republican,4,2016-10-06,3687
Democratic,4,2016-10-06,21259
Libertarian,4,2016-10-06,198
Republican,4,2017-01-12,3620
Libertarian,4,2017-01-12,209
Democratic,4,2017-01-12,20433
Unaffiliated,4,2017-01-12,9442
Libertarian,4,2017-02-17,207
Democratic,4,2017-02-17,20422
Republican,4,2017-02-17,3628
Unaffiliated,4,2017-02-17,9531
Republican,4,2017-03-07,3632
Unaffiliated,4,2017-03-07,9585
Democratic,4,2017-03-07,20403
Libertarian,4,2017-03-07,207
Unaffiliated,4,2017-04-03,9667
Democratic,4,2017-04-03,20396
Republican,4,2017-04-03,3650
Libertarian,4,2017-04-03,203
Democratic,4,2017-05-11,20390
Unaffiliated,4,2017-05-11,9721
Republican,4,2017-05-11,3657
Libertarian,4,2017-05-11,206
Libertarian,4,2017-06-06,204
Republican,4,2017-06-06,3671
Democratic,4,2017-06-06,20387
Unaffiliated,4,2017-06-06,9835
Libertarian,4,2017-06-23,206
Republican,4,2017-06-23,3653
Democratic,4,2017-06-23,20358
Unaffiliated,4,2017-06-23,9823
Republican,4,2017-08-02,3667
Unaffiliated,4,2017-08-02,9867
Libertarian,4,2017-08-02,205
Democratic,4,2017-08-02,20321
Republican,4,2017-09-01,3683
Democratic,4,2017-09-01,20349
Unaffiliated,4,2017-09-01,9980
Libertarian,4,2017-09-01,207
Libertarian,4,2017-10-05,207
Unaffiliated,4,2017-10-05,10077
Democratic,4,2017-10-05,20348
Republican,4,2017-10-05,3697
Unaffiliated,4,2017-11-02,10121
Democratic,4,2017-11-02,20321
Republican,4,2017-11-02,3691
Libertarian,4,2017-11-02,208
Democratic,4,2017-12-14,20284
Republican,4,2017-12-14,3696
Unaffiliated,4,2017-12-14,10288
Libertarian,4,2017-12-14,213
Unaffiliated,5,2014-12-22,14338
Republican,5,2014-12-22,13768
Democratic,5,2014-12-22,13221
Libertarian,5,2014-12-22,332
Republican,5,2015-06-11,13482
Democratic,5,2015-06-11,12748
Libertarian,5,2015-06-11,339
Unaffiliated,5,2015-06-11,14093
Democratic,5,2015-09-04,12722
Republican,5,2015-09-04,13526
Libertarian,5,2015-09-04,340
Unaffiliated,5,2015-09-04,14314
Republican,5,2015-11-05,13480
Democratic,5,2015-11-05,12666
Libertarian,5,2015-11-05,344
Unaffiliated,5,2015-11-05,14270
Republican,5,2015-11-19,13432
Democratic,5,2015-11-19,12624
Unaffiliated,5,2015-11-19,14146
Libertarian,5,2015-11-19,341
Libertarian,5,2016-02-03,342
Democratic,5,2016-02-03,12649
Unaffiliated,5,2016-02-03,14391
Republican,5,2016-02-03,13538
Democratic,5,2016-04-21,13011
Libertarian,5,2016-04-21,339
Unaffiliated,5,2016-04-21,14505
Republican,5,2016-04-21,13735
Democratic,5,2016-06-02,13019
Republican,5,2016-06-02,13759
Libertarian,5,2016-06-02,340
Unaffiliated,5,2016-06-02,14616
Republican,5,2016-08-02,13999
Libertarian,5,2016-08-02,346
Democratic,5,2016-08-02,13272
Unaffiliated,5,2016-08-02,14686
Democratic,5,2016-10-06,13795
Libertarian,5,2016-10-06,364
Republican,5,2016-10-06,14425
Unaffiliated,5,2016-10-06,14710
Libertarian,5,2017-01-12,401
Democratic,5,2017-01-12,13806
Unaffiliated,5,2017-01-12,15183
Republican,5,2017-01-12,14623
Republican,5,2017-02-17,14429
Libertarian,5,2017-02-17,396
Democratic,5,2017-02-17,13507
Unaffiliated,5,2017-02-17,14896
Republican,5,2017-03-07,14349
Unaffiliated,5,2017-03-07,14789
Democratic,5,2017-03-07,13415
Libertarian,5,2017-03-07,394
Republican,5,2017-04-03,13933
Libertarian,5,2017-04-03,377
Democratic,5,2017-04-03,12996
Unaffiliated,5,2017-04-03,14202
Democratic,5,2017-05-11,12568
Libertarian,5,2017-05-11,361
Unaffiliated,5,2017-05-11,13545
Republican,5,2017-05-11,13459
Unaffiliated,5,2017-06-06,13632
Democratic,5,2017-06-06,12601
Libertarian,5,2017-06-06,360
Republican,5,2017-06-06,13486
Democratic,5,2017-06-23,12351
Republican,5,2017-06-23,13188
Unaffiliated,5,2017-06-23,13310
Libertarian,5,2017-06-23,346
Unaffiliated,5,2017-08-02,13212
Republican,5,2017-08-02,13052
Democratic,5,2017-08-02,12250
Libertarian,5,2017-08-02,340
Libertarian,5,2017-09-01,345
Democratic,5,2017-09-01,12186
Republican,5,2017-09-01,13050
Unaffiliated,5,2017-09-01,13275
Republican,5,2017-10-05,13084
Libertarian,5,2017-10-05,348
Democratic,5,2017-10-05,12189
Unaffiliated,5,2017-10-05,13373
Unaffiliated,5,2017-11-02,13408
Republican,5,2017-11-02,13096
Libertarian,5,2017-11-02,347
Democratic,5,2017-11-02,12178
Libertarian,5,2017-12-14,344
Democratic,5,2017-12-14,12194
Republican,5,2017-12-14,13148
Unaffiliated,5,2017-12-14,13589
Republican,6,2014-12-22,6489
Democratic,6,2014-12-22,14980
Libertarian,6,2014-12-22,287
Unaffiliated,6,2014-12-22,12543
Democratic,6,2015-06-11,12855
Unaffiliated,6,2015-06-11,10560
Libertarian,6,2015-06-11,245
Republican,6,2015-06-11,5933
Republican,6,2015-09-04,5928
Democratic,6,2015-09-04,12887
Unaffiliated,6,2015-09-04,10728
Libertarian,6,2015-09-04,253
Libertarian,6,2015-11-05,248
Republican,6,2015-11-05,5871
Unaffiliated,6,2015-11-05,10467
Democratic,6,2015-11-05,12744
Democratic,6,2015-11-19,12733
Republican,6,2015-11-19,5869
Libertarian,6,2015-11-19,249
Unaffiliated,6,2015-11-19,10493
Democratic,6,2016-02-03,12776
Libertarian,6,2016-02-03,251
Unaffiliated,6,2016-02-03,10701
Republican,6,2016-02-03,5918
Democratic,6,2016-04-21,13447
Libertarian,6,2016-04-21,253
Republican,6,2016-04-21,6030
Unaffiliated,6,2016-04-21,10797
Libertarian,6,2016-06-02,260
Unaffiliated,6,2016-06-02,10860
Republican,6,2016-06-02,6055
Democratic,6,2016-06-02,13464
Libertarian,6,2016-08-02,269
Unaffiliated,6,2016-08-02,10893
Democratic,6,2016-08-02,13919
Republican,6,2016-08-02,6285
Unaffiliated,6,2016-10-06,10747
Democratic,6,2016-10-06,14376
Republican,6,2016-10-06,6513
Libertarian,6,2016-10-06,282
Libertarian,6,2017-01-12,292
Republican,6,2017-01-12,6458
Democratic,6,2017-01-12,14003
Unaffiliated,6,2017-01-12,10744
Libertarian,6,2017-02-17,298
Unaffiliated,6,2017-02-17,10812
Democratic,6,2017-02-17,14017
Republican,6,2017-02-17,6474
Republican,6,2017-03-07,6479
Unaffiliated,6,2017-03-07,10848
Democratic,6,2017-03-07,14013
Libertarian,6,2017-03-07,300
Libertarian,6,2017-04-03,300
Democratic,6,2017-04-03,14017
Republican,6,2017-04-03,6483
Unaffiliated,6,2017-04-03,10905
Democratic,6,2017-05-11,14043
Libertarian,6,2017-05-11,305
Republican,6,2017-05-11,6508
Unaffiliated,6,2017-05-11,10957
Republican,6,2017-06-06,6489
Democratic,6,2017-06-06,14034
Libertarian,6,2017-06-06,307
Unaffiliated,6,2017-06-06,10949
Unaffiliated,6,2017-06-23,10923
Democratic,6,2017-06-23,13956
Libertarian,6,2017-06-23,306
Republican,6,2017-06-23,6447
Republican,6,2017-08-02,6425
Libertarian,6,2017-08-02,314
Unaffiliated,6,2017-08-02,10924
Democratic,6,2017-08-02,13944
Democratic,6,2017-09-01,13994
Unaffiliated,6,2017-09-01,11023
Libertarian,6,2017-09-01,312
Republican,6,2017-09-01,6432
Democratic,6,2017-10-05,13970
Libertarian,6,2017-10-05,311
Unaffiliated,6,2017-10-05,11106
Republican,6,2017-10-05,6439
Republican,6,2017-11-02,6436
Democratic,6,2017-11-02,13982
Libertarian,6,2017-11-02,311
Unaffiliated,6,2017-11-02,11143
Unaffiliated,6,2017-12-14,11269
Republican,6,2017-12-14,6445
Democratic,6,2017-12-14,14011
Libertarian,6,2017-12-14,312
Democratic,7,2014-12-22,14229
Republican,7,2014-12-22,23187
Libertarian,7,2014-12-22,481
Unaffiliated,7,2014-12-22,15775
Democratic,7,2015-06-11,14268
Republican,7,2015-06-11,23123
Libertarian,7,2015-06-11,492
Unaffiliated,7,2015-06-11,16152
Democratic,7,2015-09-04,14436
Unaffiliated,7,2015-09-04,16361
Republican,7,2015-09-04,23191
Libertarian,7,2015-09-04,490
Democratic,7,2015-11-05,14585
Libertarian,7,2015-11-05,491
Republican,7,2015-11-05,23226
Unaffiliated,7,2015-11-05,16515
Republican,7,2015-11-19,23242
Libertarian,7,2015-11-19,495
Unaffiliated,7,2015-11-19,16535
Democratic,7,2015-11-19,14616
Unaffiliated,7,2016-02-03,16585
Republican,7,2016-02-03,23268
Libertarian,7,2016-02-03,495
Democratic,7,2016-02-03,14731
Republican,7,2016-04-21,23069
Democratic,7,2016-04-21,15660
Libertarian,7,2016-04-21,471
Unaffiliated,7,2016-04-21,16180
Unaffiliated,7,2016-06-02,16299
Republican,7,2016-06-02,23039
Libertarian,7,2016-06-02,483
Democratic,7,2016-06-02,15702
Democratic,7,2016-08-02,15994
Unaffiliated,7,2016-08-02,16465
Republican,7,2016-08-02,23360
Libertarian,7,2016-08-02,503
Unaffiliated,7,2016-10-06,16070
Democratic,7,2016-10-06,16757
Republican,7,2016-10-06,23876
Libertarian,7,2016-10-06,523
Republican,7,2017-01-12,22981
Unaffiliated,7,2017-01-12,15496
Libertarian,7,2017-01-12,508
Democratic,7,2017-01-12,16167
Libertarian,7,2017-02-17,511
Unaffiliated,7,2017-02-17,15645
Democratic,7,2017-02-17,16196
Republican,7,2017-02-17,23033
Republican,7,2017-03-07,22989
Democratic,7,2017-03-07,16201
Libertarian,7,2017-03-07,511
Unaffiliated,7,2017-03-07,15636
Democratic,7,2017-04-03,16227
Unaffiliated,7,2017-04-03,15689
Republican,7,2017-04-03,22971
Libertarian,7,2017-04-03,513
Republican,7,2017-05-11,22953
Libertarian,7,2017-05-11,514
Democratic,7,2017-05-11,16225
Unaffiliated,7,2017-05-11,15737
Libertarian,7,2017-06-06,520
Republican,7,2017-06-06,22931
Democratic,7,2017-06-06,16250
Unaffiliated,7,2017-06-06,15790
Unaffiliated,7,2017-06-23,15825
Democratic,7,2017-06-23,16251
Libertarian,7,2017-06-23,523
Republican,7,2017-06-23,22906
Democratic,7,2017-08-02,16196
Unaffiliated,7,2017-08-02,15805
Libertarian,7,2017-08-02,522
Republican,7,2017-08-02,22705
Democratic,7,2017-09-01,16264
Unaffiliated,7,2017-09-01,15922
Libertarian,7,2017-09-01,534
Republican,7,2017-09-01,22687
Democratic,7,2017-10-05,16278
Republican,7,2017-10-05,22619
Unaffiliated,7,2017-10-05,15992
Libertarian,7,2017-10-05,536
Unaffiliated,7,2017-11-02,16068
Democratic,7,2017-11-02,16323
Libertarian,7,2017-11-02,534
Republican,7,2017-11-02,22622
Democratic,7,2017-12-14,16415
Republican,7,2017-12-14,22594
Unaffiliated,7,2017-12-14,16252
Libertarian,7,2017-12-14,540
Unaffiliated,8,2014-12-22,15096
Republican,8,2014-12-22,22931
Democratic,8,2014-12-22,10924
Libertarian,8,2014-12-22,430
Unaffiliated,8,2015-06-11,15366
Libertarian,8,2015-06-11,450
Democratic,8,2015-06-11,11027
Republican,8,2015-06-11,22881
Unaffiliated,8,2015-09-04,15525
Republican,8,2015-09-04,22993
Democratic,8,2015-09-04,11162
Libertarian,8,2015-09-04,463
Libertarian,8,2015-11-05,465
Democratic,8,2015-11-05,11292
Republican,8,2015-11-05,23049
Unaffiliated,8,2015-11-05,15685
Democratic,8,2015-11-19,11328
Republican,8,2015-11-19,23067
Unaffiliated,8,2015-11-19,15721
Libertarian,8,2015-11-19,469
Democratic,8,2016-02-03,11465
Republican,8,2016-02-03,23149
Libertarian,8,2016-02-03,480
Unaffiliated,8,2016-02-03,15716
Libertarian,8,2016-04-21,473
Democratic,8,2016-04-21,12265
Republican,8,2016-04-21,23247
Unaffiliated,8,2016-04-21,15539
Republican,8,2016-06-02,23261
Libertarian,8,2016-06-02,484
Democratic,8,2016-06-02,12273
Unaffiliated,8,2016-06-02,15530
Unaffiliated,8,2016-08-02,15655
Democratic,8,2016-08-02,12532
Libertarian,8,2016-08-02,505
Republican,8,2016-08-02,23449
Republican,8,2016-10-06,24018
Democratic,8,2016-10-06,13149
Libertarian,8,2016-10-06,535
Unaffiliated,8,2016-10-06,15408
Unaffiliated,8,2017-01-12,14897
Republican,8,2017-01-12,23094
Libertarian,8,2017-01-12,527
Democratic,8,2017-01-12,12604
Libertarian,8,2017-02-17,532
Democratic,8,2017-02-17,12665
Republican,8,2017-02-17,23149
Unaffiliated,8,2017-02-17,14995
Unaffiliated,8,2017-03-07,15007
Republican,8,2017-03-07,23111
Democratic,8,2017-03-07,12681
Libertarian,8,2017-03-07,527
Unaffiliated,8,2017-04-03,15082
Republican,8,2017-04-03,23117
Libertarian,8,2017-04-03,532
Democratic,8,2017-04-03,12730
Democratic,8,2017-05-11,12756
Republican,8,2017-05-11,23136
Libertarian,8,2017-05-11,538
Unaffiliated,8,2017-05-11,15151
Republican,8,2017-06-06,23134
Democratic,8,2017-06-06,12771
Unaffiliated,8,2017-06-06,15205
Libertarian,8,2017-06-06,539
Democratic,8,2017-06-23,12776
Unaffiliated,8,2017-06-23,15225
Libertarian,8,2017-06-23,541
Republican,8,2017-06-23,23127
Republican,8,2017-08-02,23241
Democratic,8,2017-08-02,12910
Unaffiliated,8,2017-08-02,15436
Libertarian,8,2017-08-02,556
Democratic,8,2017-09-01,12987
Republican,8,2017-09-01,23295
Libertarian,8,2017-09-01,563
Unaffiliated,8,2017-09-01,15588
Republican,8,2017-10-05,23260
Unaffiliated,8,2017-10-05,15635
Democratic,8,2017-10-05,13017
Libertarian,8,2017-10-05,566
Democratic,8,2017-11-02,12980
Republican,8,2017-11-02,23133
Unaffiliated,8,2017-11-02,15542
Libertarian,8,2017-11-02,556
Unaffiliated,8,2017-12-14,15687
Libertarian,8,2017-12-14,557
Republican,8,2017-12-14,23115
Democratic,8,2017-12-14,13033
Democratic,9,2014-12-22,9418
Libertarian,9,2014-12-22,484
Unaffiliated,9,2014-12-22,13920
Republican,9,2014-12-22,20434
Republican,9,2015-06-11,20624
Libertarian,9,2015-06-11,497
Democratic,9,2015-06-11,9579
Unaffiliated,9,2015-06-11,14285
Libertarian,9,2015-09-04,509
Democratic,9,2015-09-04,9659
Unaffiliated,9,2015-09-04,14427
Republican,9,2015-09-04,20713
Libertarian,9,2015-11-05,516
Democratic,9,2015-11-05,9750
Republican,9,2015-11-05,20828
Unaffiliated,9,2015-11-05,14557
Unaffiliated,9,2015-11-19,14562
Libertarian,9,2015-11-19,521
Democratic,9,2015-11-19,9778
Republican,9,2015-11-19,20891
Republican,9,2016-02-03,20960
Democratic,9,2016-02-03,9816
Libertarian,9,2016-02-03,514
Unaffiliated,9,2016-02-03,14536
Democratic,9,2016-04-21,10309
Unaffiliated,9,2016-04-21,14405
Republican,9,2016-04-21,21053
Libertarian,9,2016-04-21,500
Democratic,9,2016-06-02,10317
Republican,9,2016-06-02,21060
Libertarian,9,2016-06-02,504
Unaffiliated,9,2016-06-02,14412
Republican,9,2016-08-02,21532
Unaffiliated,9,2016-08-02,14562
Democratic,9,2016-08-02,10640
Libertarian,9,2016-08-02,526
Democratic,9,2016-10-06,11107
Republican,9,2016-10-06,22212
Libertarian,9,2016-10-06,541
Unaffiliated,9,2016-10-06,14200
Republican,9,2017-01-12,21619
Unaffiliated,9,2017-01-12,13908
Libertarian,9,2017-01-12,516
Democratic,9,2017-01-12,10671
Libertarian,9,2017-02-17,529
Republican,9,2017-02-17,21695
Democratic,9,2017-02-17,10713
Unaffiliated,9,2017-02-17,13994
Unaffiliated,9,2017-03-07,14034
Libertarian,9,2017-03-07,531
Democratic,9,2017-03-07,10727
Republican,9,2017-03-07,21716
Unaffiliated,9,2017-04-03,14097
Libertarian,9,2017-04-03,539
Republican,9,2017-04-03,21758
Democratic,9,2017-04-03,10738
Democratic,9,2017-05-11,10768
Unaffiliated,9,2017-05-11,14159
Republican,9,2017-05-11,21772
Libertarian,9,2017-05-11,546
Libertarian,9,2017-06-06,546
Unaffiliated,9,2017-06-06,14217
Democratic,9,2017-06-06,10785
Republican,9,2017-06-06,21801
Republican,9,2017-06-23,21819
Unaffiliated,9,2017-06-23,14217
Democratic,9,2017-06-23,10810
Libertarian,9,2017-06-23,546
Democratic,9,2017-08-02,10846
Libertarian,9,2017-08-02,555
Unaffiliated,9,2017-08-02,14246
Republican,9,2017-08-02,21858
Republican,9,2017-09-01,21949
Democratic,9,2017-09-01,10925
Libertarian,9,2017-09-01,564
Unaffiliated,9,2017-09-01,14388
Unaffiliated,9,2017-10-05,14450
Republican,9,2017-10-05,21946
Libertarian,9,2017-10-05,570
Democratic,9,2017-10-05,10922
Libertarian,9,2017-11-02,570
Unaffiliated,9,2017-11-02,14529
Republican,9,2017-11-02,21993
Democratic,9,2017-11-02,10923
Republican,9,2017-12-14,22062
Libertarian,9,2017-12-14,572
Democratic,9,2017-12-14,10954
Unaffiliated,9,2017-12-14,14621
Republican,10,2014-12-22,20202
Unaffiliated,10,2014-12-22,14633
Libertarian,10,2014-12-22,384
Democratic,10,2014-12-22,11493
Republican,10,2015-06-11,20256
Democratic,10,2015-06-11,11575
