year,county,registered_voters,total_votes_cast,prop_turnout,advance_votes,prop_votes_advance,provisional_votes,prop_votes_provisional
2014,Butler,39717,21147,0.532,3373,0.16,444,0.021
2014,Chase,1813,1115,0.615,288,0.258,24,0.022
2014,Chautauqua,2282,1132,0.496,165,0.146,14,0.012
2014,Cherokee,16450,6104,0.371,951,0.156,130,0.021
2014,Cheyenne,1866,1081,0.579,303,0.28,6,0.006
2014,Clark,1465,852,0.582,169,0.198,19,0.022
2014,Clay,5811,3252,0.56,1048,0.322,61,0.019
2014,Cloud,6081,3247,0.534,574,0.177,66,0.02
2014,Coffey,6085,3210,0.528,678,0.211,64,0.02
2014,Comanche,1179,708,0.601,50,0.071,31,0.044
2014,Cowley,20525,10071,0.491,2380,0.236,303,0.03
2014,Crawford,23507,10998,0.468,1972,0.179,370,0.034
2014,Decatur,2017,1254,0.622,258,0.206,12,0.01
2014,Dickinson,12764,6562,0.514,1115,0.17,188,0.029
2014,Doniphan,4788,2327,0.486,191,0.082,26,0.011
2014,Douglas,75865,38656,0.51,10749,0.278,1721,0.045
2014,Edwards,1886,1177,0.624,120,0.102,30,0.025
2014,Elk,1840,1111,0.604,210,0.189,16,0.014
2014,Ellis,17866,9831,0.55,1750,0.178,257,0.026
2014,Ellsworth,4090,2334,0.571,444,0.19,37,0.016
2014,Finney,16974,7130,0.42,902,0.127,204,0.029
2014,Ford,15210,6348,0.417,1680,0.265,230,0.036
2014,Franklin,17295,7756,0.448,1058,0.136,170,0.022
2014,Geary,13898,5163,0.371,1242,0.241,212,0.041
2014,Gove,2410,1070,0.444,118,0.11,29,0.027
2014,Graham,1946,1193,0.613,200,0.168,19,0.016
2014,Grant,3405,1813,0.532,413,0.228,53,0.029
2014,Gray,2947,1677,0.569,369,0.22,58,0.035
2014,Greeley,926,583,0.63,149,0.256,7,0.012
2014,Greenwood,3850,2282,0.593,416,0.182,76,0.033
2014,Hamilton,1311,718,0.548,314,0.437,25,0.035
2014,Harper,4181,2053,0.491,226,0.11,44,0.021
2014,Harvey,21490,11851,0.551,2724,0.23,231,0.019
2014,Haskell,2363,1051,0.445,183,0.174,55,0.052
2014,Hodgeman,1393,883,0.634,121,0.137,26,0.029
2014,Jackson,8896,4890,0.55,853,0.174,97,0.02
2014,Jefferson,12888,6682,0.518,678,0.101,125,0.019
2014,Jewell,2217,1141,0.515,234,0.205,18,0.016
2014,Johnson,380907,195287,0.513,64360,0.33,4360,0.022
2014,Kearny,2099,1052,0.501,187,0.178,20,0.019
2014,Kingman,5375,2943,0.548,461,0.157,42,0.014
2014,Kiowa,1576,930,0.59,135,0.145,18,0.019
2014,Labette,15926,5862,0.368,578,0.099,155,0.026
2014,Lane,1297,786,0.606,154,0.196,35,0.045
2014,Leavenworth,46825,20222,0.432,5191,0.257,320,0.016
2014,Lincoln,2184,1219,0.558,255,0.209,29,0.024
2014,Linn,7206,3685,0.511,406,0.11,84,0.023
2014,Logan,1773,1073,0.605,269,0.251,13,0.012
2014,Lyon,19394,9140,0.471,2060,0.225,270,0.03
2014,Marion,7757,4511,0.582,542,0.12,69,0.015
2014,Marshall,6408,3816,0.596,1016,0.266,99,0.026
2014,McPherson,16038,10455,0.652,1663,0.159,257,0.025
2014,Meade,3171,1453,0.458,280,0.193,31,0.021
2014,Miami,21125,10729,0.508,2559,0.239,242,0.023
2014,Mitchell,4157,2241,0.539,321,0.143,69,0.031
2014,Montgomery,19020,8842,0.465,1029,0.116,162,0.018
2014,Morris,3824,2154,0.563,727,0.338,49,0.023
2014,Morton,1940,932,0.48,179,0.192,42,0.045
2014,Nemaha,7230,4307,0.596,436,0.101,66,0.015
2014,Neosho,11214,4974,0.444,375,0.075,91,0.018
2014,Ness,2022,1199,0.593,247,0.206,26,0.022
2014,Norton,3165,1887,0.596,258,0.137,31,0.016
2014,Osage,10381,5925,0.571,679,0.115,162,0.027
2014,Osborne,2791,1475,0.528,215,0.146,26,0.018
2014,Ottawa,4377,2344,0.536,344,0.147,35,0.015
2014,Pawnee,3957,2202,0.556,576,0.262,50,0.023
2014,Phillips,3730,2614,0.701,346,0.132,71,0.027
2014,Pottawatomie,14022,8256,0.589,1001,0.121,201,0.024
2014,Pratt,5991,3194,0.533,456,0.143,29,0.009
2014,Rawlins,2092,1193,0.57,264,0.221,25,0.021
2014,Reno,41001,19389,0.473,4332,0.223,545,0.028
2014,Republic,3768,2048,0.544,418,0.204,53,0.026
2014,Rice,5961,3039,0.51,665,0.219,68,0.022
2014,Riley,33573,15935,0.475,5610,0.352,770,0.048
2014,Rooks,3324,2011,0.605,228,0.113,76,0.038
2014,Rush,2298,1361,0.592,269,0.198,27,0.02
2014,Russell,4396,2643,0.601,412,0.156,47,0.018
2014,Saline,34745,17792,0.512,4007,0.225,327,0.018
2014,Scott,3143,1766,0.562,312,0.177,36,0.02
2014,Sedgwick,275439,145073,0.527,65157,0.449,4348,0.03
2014,Seward,9861,3391,0.344,326,0.096,116,0.034
2014,Shawnee,106042,64455,0.608,13776,0.214,1378,0.021
2014,Sheridan,1744,1086,0.623,239,0.22,13,0.012
2014,Sherman,3899,2140,0.549,520,0.243,36,0.017
2014,Smith,3013,1771,0.588,247,0.139,35,0.02
2014,Stafford,2651,1556,0.587,417,0.268,22,0.014
2014,Stanton,1228,730,0.594,133,0.182,22,0.03
2014,Stevens,2903,1456,0.502,138,0.095,50,0.034
2014,Sumner,15964,7486,0.469,880,0.118,143,0.019
2014,Thomas,4755,2740,0.576,1037,0.378,57,0.021
2014,Trego,2227,1224,0.55,320,0.261,26,0.021
2014,Wabaunsee,4569,2930,0.641,346,0.118,91,0.031
2014,Wallace,1058,660,0.624,162,0.245,18,0.027
2014,Washington,3864,2329,0.603,564,0.242,67,0.029
2014,Wichita,1394,781,0.56,49,0.063,4,0.005
2014,Wilson,5038,2740,0.544,504,0.184,32,0.012
2014,Woodson,2214,1309,0.591,205,0.157,14,0.011
2014,Wyandotte,82319,29337,0.356,7348,0.25,740,0.025
2016,Allen,8655,5686,0.657,1314,0.231,205,0.036
2016,Anderson,5410,3454,0.638,738,0.214,101,0.029
2016,Atchison,11332,6861,0.605,1805,0.263,208,0.03
2016,Barber,2970,2301,0.775,557,0.242,51,0.022
2016,Barton,17427,10455,0.6,2853,0.273,175,0.017
2016,Bourbon,11643,6312,0.542,1924,0.305,231,0.037
2016,Brown,6159,4169,0.677,834,0.2,106,0.025
2016,Butler,42282,28357,0.671,9020,0.318,698,0.025
2016,Chase,1827,1414,0.774,520,0.368,21,0.015
2016,Chautaqua,2332,1526,0.654,290,0.19,28,0.018
2016,Cherokee,16953,8863,0.523,1702,0.192,295,0.033
2016,Cheyenne,1914,1438,0.751,496,0.345,8,0.006
2016,Clark,1476,1039,0.704,285,0.274,28,0.027
2016,Clay,5761,3981,0.691,1448,0.364,105,0.026
2016,Cloud,6003,3992,0.665,1013,0.254,115,0.029
2016,Coffey,6164,4186,0.679,1159,0.277,108,0.026
2016,Comanche,1136,929,0.818,118,0.127,27,0.029
2016,Cowley,19982,13056,0.653,4520,0.346,482,0.037
2016,Crawford,24901,15434,0.62,3636,0.236,573,0.037
2016,Decatur,2112,1499,0.71,331,0.221,26,0.017
2016,Dickinson,12955,8428,0.651,2169,0.257,238,0.028
2016,Doniphan,4932,3488,0.707,524,0.15,61,0.017
2016,Douglas,81380,52164,0.641,22969,0.44,2006,0.038
2016,Edwards,1905,1349,0.708,77,0.057,13,0.01
2016,Elk,1850,1327,0.717,395,0.298,21,0.016
2016,Ellis,18317,12254,0.669,3651,0.298,264,0.022
2016,Ellsworth,4148,2767,0.667,630,0.228,68,0.025
2016,Finney,19016,10543,0.554,2500,0.237,509,0.048
2016,Ford,15790,7943,0.503,3326,0.419,366,0.046
2016,Franklin,18004,11319,0.629,2757,0.244,363,0.032
2016,Geary,15658,8363,0.534,2802,0.335,668,0.08
2016,Gove,1920,1391,0.724,213,0.153,25,0.018
2016,Graham,1811,1321,0.729,316,0.239,18,0.014
2016,Grant,3543,2460,0.694,782,0.318,93,0.038
2016,Gray,3032,2121,0.7,637,0.3,73,0.034
2016,Greeley,860,671,0.78,254,0.379,15,0.022
2016,Greenwood,4835,2911,0.602,727,0.25,35,0.012
2016,Hamilton,1301,898,0.69,421,0.469,26,0.029
2016,Harper,4202,2638,0.628,542,0.205,81,0.031
2016,Harvey,21761,15435,0.709,5612,0.364,399,0.026
2016,Haskell,2383,1386,0.582,308,0.222,63,0.045
2016,Hodgeman,1404,1052,0.749,176,0.167,23,0.022
2016,Jackson,8534,6061,0.71,1821,0.3,142,0.023
2016,Jefferson,13280,8651,0.651,1458,0.169,239,0.028
2016,Jewell,2159,1517,0.703,458,0.302,34,0.022
2016,Johnson,407550,299711,0.735,182758,0.61,10571,0.035
2016,Kearny,2157,1418,0.657,332,0.234,45,0.032
2016,Kingman,5278,3419,0.648,785,0.23,61,0.018
2016,Kiowa,1425,1135,0.796,289,0.255,77,0.068
2016,Labette,16130,8391,0.52,884,0.105,210,0.025
2016,Lane,1321,903,0.684,186,0.206,38,0.042
2016,Leavenworth,50794,31146,0.613,13749,0.441,748,0.024
2016,Lincoln,2177,1524,0.7,381,0.25,25,0.016
2016,Linn,6813,4547,0.667,1007,0.221,160,0.035
2016,Logan,1856,1389,0.748,387,0.279,16,0.012
2016,Lyon,19872,12844,0.646,3728,0.29,594,0.046
2016,Marion,7911,5813,0.735,1806,0.311,164,0.028
2016,Marshall,6468,4854,0.75,1484,0.306,144,0.03
2016,McPherson,17068,13186,0.773,2988,0.227,308,0.023
2016,Meade,3237,1754,0.542,562,0.32,60,0.034
2016,Miami,22059,15479,0.702,6573,0.425,425,0.027
2016,Mitchell,4163,2958,0.711,664,0.224,110,0.037
2016,Montgomery,19573,12335,0.63,1719,0.139,379,0.031
2016,Morris,3868,2710,0.701,1037,0.383,71,0.026
2016,Morton,1957,1241,0.634,407,0.328,29,0.023
2016,Nemaha,7318,5289,0.723,777,0.147,80,0.015
2016,Neosho,11468,6481,0.565,619,0.096,134,0.021
2016,Ness,1988,1489,0.749,401,0.269,34,0.023
2016,Norton,3367,2317,0.688,458,0.198,59,0.025
2016,Osage,10808,7398,0.684,1037,0.14,251,0.034
2016,Osborne,2744,1877,0.684,293,0.156,47,0.025
2016,Ottawa,4362,2997,0.687,697,0.233,46,0.015
2016,Pawnee,3895,2771,0.711,926,0.334,67,0.024
2016,Phillips,3613,2729,0.755,395,0.145,63,0.023
2016,Pottawatomie,14381,11158,0.776,2376,0.213,367,0.033
2016,Pratt,5900,3986,0.676,956,0.24,38,0.01
2016,Rawlins,2111,1502,0.712,405,0.27,18,0.012
2016,Reno,41135,25088,0.61,8296,0.331,835,0.033
2016,Republic,3700,2577,0.696,700,0.272,53,0.021
2016,Rice,5980,3794,0.634,1355,0.357,110,0.029
2016,Riley,33917,22811,0.673,9243,0.405,1263,0.055
2016,Rooks,3425,2426,0.708,327,0.135,69,0.028
2016,Rush,2118,1562,0.737,396,0.254,45,0.029
2016,Russell,4478,3265,0.729,707,0.217,58,0.018
2016,Saline,35414,22694,0.641,6614,0.291,620,0.027
2016,Scott,3274,2247,0.686,558,0.248,47,0.021
2016,Sedgwick,293113,195746,0.668,112441,0.574,7286,0.037
2016,Seward,10495,5218,0.497,1940,0.372,386,0.074
2016,Shawnee,109731,78356,0.714,22629,0.289,2156,0.028
2016,Sheridan,1835,1414,0.771,279,0.197,28,0.02
2016,Sherman,3870,2674,0.691,970,0.363,76,0.028
2016,Smith,2897,2111,0.729,397,0.188,51,0.024
2016,Stafford,2666,1949,0.731,601,0.308,17,0.009
2016,Stanton,1216,806,0.663,153,0.19,38,0.047
2016,Stevens,2986,1923,0.644,381,0.198,48,0.025
2016,Sumner,16482,9994,0.606,2080,0.208,334,0.033
2016,Thomas,4600,3705,0.805,1654,0.446,152,0.041
2016,Trego,2181,1522,0.698,446,0.293,32,0.021
2016,Wabaunsee,4775,3506,0.734,691,0.197,70,0.02
2016,Wallace,1054,826,0.784,258,0.312,15,0.018
2016,Washington,3347,2822,0.843,752,0.266,87,0.031
2016,Wichita,1366,971,0.711,206,0.212,13,0.013
2016,Wilson,4943,3713,0.751,1021,0.275,110,0.03
2016,Woodson,2246,1491,0.664,335,0.225,40,0.027
2016,Wyandotte,79625,50295,0.632,25033,0.498,1960,0.039
